shinsakaiIinCode,varchar,RString,,,,,介護認定審査会委員コード,A
shinsakaiIinHoshuKubun,UDD035Code,Code,,,,,審査会委員報酬区分,A
shinsakaiKaisaiYMD,UDD015YMD,FlexibleDate,,,,,実施年月日,A
remban,int2,int,,,,,連番,A
shinsakaiKaisaiNo,bpchar,RString,,,,,介護認定審査会開催番号,A
shinsakaiHoshuZeiritsu,int2,int,,,,,介護認定審査会報酬税率,A
shinsakaiHoshu,int4,int,,,,,介護認定審査報酬,A
shinsakaiSonotaHoshu,int4,int,,,,,介護認定審査その他報酬,A
shinsakaiKotsuhi,int4,int,,,,,介護認定審査交通費等,A
shinsakaiKojoZeigaku,int4,int,,,,,介護認定審査控除税額,A
shinsakaiHoshuGokei,int4,int,,,,,介護認定審査報酬合計,A
hoshuShiharaiYMD,UDD015YMD,FlexibleDate,,,,,介護認定審査報酬支払年月日,A
hoshuShiharaiMemo,text,RString,,,,,介護認定審査報酬支払メモ,A
ginkoFurikomiShutsuryokuFlag,bool,boolean,,,,,銀行振込出力フラグ,A
