shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
shujiiIryokikanCode,varchar,RString,,,,,主治医医療機関コード,A
shujiiCode,varchar,RString,,,,,主治医コード,A
shujiiName,varchar,RString,,,,,主治医氏名,A
shujiiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,主治医カナ,A
seibetsu,UDD035Code,Code,,,,,性別,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jusho,varchar,RString,,,,,住所,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
faxNo,UDD026TelNo,TelNo,,,,,FAX番号,A
shinryokaName,varchar,RString,,,,,診療科名称,A
shiteiiFlag,bool,boolean,,,,,指定医フラグ,A
jokyoFlag,bool,boolean,,,,,状況フラグ,A
