shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
genshobunsHihokennshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,原処分被保険者番号,A
shinsaSeikyuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,審査請求届出日,A
genshobunHihokenshaYubinNo,UDD003YubinNo,YubinNo,,,,,原処分被保険者郵便番号,A
genshobunHihokenshaJusho,UDD046AtenaJusho,AtenaJusho,,,,,原処分被保険者住所,A
genshobunHihokenshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,原処分被保険者氏名,A
genshobunHihokenshaTelNo,UDD026TelNo,TelNo,,,,,原処分被保険者電話番号,A
genshobunHihokenshaBirthYMD,UDD015YMD,FlexibleDate,,,,,原処分被保険者生年月日,A
shinsaSeikyuninYubinNo,UDD003YubinNo,YubinNo,,,,,審査請求人郵便番号,A
shinsaSeikyuninJusho,UDD046AtenaJusho,AtenaJusho,,,,,審査請求人住所,A
shinsaSeikyuninShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,審査請求人氏名,A
shinsaSeikyuninTelNo,UDD026TelNo,TelNo,,,,,審査請求人電話番号,A
hihokenshaTonoKankeiCode,UDD035Code,Code,,,,,被保険者との関係コード,A
dairininYubinNo,UDD003YubinNo,YubinNo,,,,,代理人郵便番号,A
dairininJusho,UDD046AtenaJusho,AtenaJusho,,,,,代理人住所,A
dairininShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,代理人氏名,A
dairininTelNo,UDD026TelNo,TelNo,,,,,代理人電話番号,A
shobunCho,varchar,RString,,,,,処分庁,A
shobunYMD,UDD015YMD,FlexibleDate,,,,,処分日,A
shobunShuruiCode,UDD035Code,Code,,,,,処分種類コード,A
shobunKakuninYMD,UDD015YMD,FlexibleDate,,,,,処分があったことを知った日,A
shinsaSeikyuRiyu,text,RString,,,,,審査請求の理由,A
shobunChoKyojiNaiyo,text,RString,,,,,処分庁教示の有無及び教示の内容,A
tempuShoruiTo,bool,boolean,,,,,添付書類等,A
shinsaSeikyuTorisageYMD,UDD015YMD,FlexibleDate,,,,,審査請求取下日,A
bemmeishoTorokuFlag,bool,boolean,,,,,弁明書登録フラグ,A
bemmeishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,弁明書作成日,A
saiketsuYMD,UDD015YMD,FlexibleDate,,,,,裁決日,A
saiketsuKekka,text,RString,,,,,裁決結果,A
saiketsuRiyu,text,RString,,,,,裁決理由,A
