shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
genshobunHihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,原処分被保険者番号,A
shinsaseikyuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,審査請求届出日,A
bemmeishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,弁明書作成日,A
bemmeishaEdaban,int2,int,,,,,弁明者枝番,A
shokuinCode,UDD035Code,Code,,,,,職員コード,A
bushoCode,UDD048BushoCode,BushoCode,,,,,部署コード,A
yakushoskuName,varchar,RString,,,,,役職名,A
bemmeishaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,弁明者氏名,A
