shoriNo,varchar,RString,,,,,処理番号,A
shubetsu,varchar,RString,,,,,種別,A
shoriID,varchar,RString,,,,,処理ＩＤ,A
motoShichosonCode,UDD023LasdecCode,LasdecCode,,,,,送信元市町村コード,A
sakiShichosonCode,UDD023LasdecCode,LasdecCode,,,,,送信先市町村コード,A
kekkaKubun,varchar,RString,,,,,結果区分,A
kakuninKubun,varchar,RString,,,,,確認区分,A
ShoriKaishiTimestamp,UDD017YMDHM,YMDHM,,,,,処理開始時刻,A
shoriShuryoTimestamp,UDD017YMDHM,YMDHM,,,,,処理終了時刻,A
logFileMei,varchar,RString,,,,,ログファイル名,A
hyojiJoken,varchar,RString,,,,,表示用条件,A
messeage,varchar,RString,,,,,メッセージ,A
rendoKeitai,varchar,RString,,,,,連動形態,A
upLoad_JushinKekkaKubun,varchar,RString,,,,,UL・受信結果区分,A
upLoad_MojiCodeHenkanKekkaKubun,varchar,RString,,,,,UL・文字コード変換結果区分,A
upLoad_Shori1KekkaKubun,varchar,RString,,,,,UL・処理１結果区分,A
upLoad_Shori2kekkaKubun,varchar,RString,,,,,UL・処理２結果区分,A
upLoad_Shori3KekkaKubun,varchar,RString,,,,,UL・処理３結果区分,A
downLoad_Shori1KekkaKubun,varchar,RString,,,,,DL・処理１結果区分,A
downLoad_CodeHenkanKekkaKubun,varchar,RString,,,,,DL・コード変換結果区分,A
downLoad_MojiCodeHenkanKekkaKubun,varchar,RString,,,,,DL・文字コード変換結果区分,A
downLoad_Soshin1KekkaKubun,varchar,RString,,,,,DL・送信１結果区分,A
downLoad_shori2KekkaKubun,varchar,RString,,,,,DL・処理２結果区分,A
downLoad_Jushon1KekkaKubun,varchar,RString,,,,,DL・受信１結果区分,A
shoriMessage1,varchar,RString,,,,,処理メッセージ１,A
shoriMessage2,varchar,RString,,,,,処理メッセージ２,A
