shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,証記載保険者番号,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
shinseiTodokedeYMD,date,RDate,,,,,申請届出年月日,A
shinseishoKanriNo,DbUDD013ShinseishoKanriNo,DbUDD013ShinseishoKanriNo,,,,,申請書管理番号,A
shinseiTodokedeShubetsuCode,bpchar,RString,,,,,申請届出種別コード,A
shinseiTodokedeDaikoKubunCode,UDD035Code,Code,,,,,申請届出代行区分コード,A
shinseiTodokedeshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,申請届出者氏名,A
shinseiTodokedeshaKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,申請届出者氏名カナ,A
shinseiTodokedeshaTsuzukigaraCode,varchar,RString,,,,,申請届出者続柄コード,A
shinseiTodokedeDaikoJigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,申請届出代行事業者番号,A
jigyoshaKubun,bpchar,RString,,,,,事業者区分,A
shinseiTodokedeshaYubinNo,UDD003YubinNo,YubinNo,,,,,申請届出者郵便番号,A
shinseiTodokedeshaJusho,UDD046AtenaJusho,AtenaJusho,,,,,申請届出者住所,A
shinseiTodokedeshaTelNo,UDD026TelNo,TelNo,,,,,申請届出者電話番号,A
