jigyoshaNo,UDD060KaigoJigyoshaNo,UDD060KaigoJigyoshaNo,,,,,事業者番号,A
serviceShuruiCode,UDD061KaigoServiceShuruiCode,UDD061KaigoServiceShuruiCode,,,,,サービス種類コード,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,有効開始日,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,有効終了日,A
idoYMD,UDD015YMD,FlexibleDate,,,,,異動日,A
idoJiyu,varchar,RString,,,,,異動事由,A
shiteiNo,bpchar,RString,,,,,指定番号,A
kihonJohoJunkyoKubun,bpchar,RString,,,,,基本情報準拠区分,A
jigyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,事業開始日,A
jigyoKyushiYMD,UDD015YMD,FlexibleDate,,,,,事業休止日,A
jigyoSaikaiYMD,UDD015YMD,FlexibleDate,,,,,事業再開日,A
jigyoHaishiYMD,UDD015YMD,FlexibleDate,,,,,事業廃止日,A
jigyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,事業者名称,A
jigyoshaNameKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,事業者名称カナ,A
jigyoshaYubinNo,UDD003YubinNo,YubinNo,,,,,事業者郵便番号,A
jigyoshaAddress,UDD046AtenaJusho,AtenaJusho,,,,,事業者住所,A
jigyoshaAddressKana,varchar,RString,,,,,事業者住所カナ,A
jigyoshaTelNo,UDD026TelNo,TelNo,,,,,事業者電話番号,A
jigyoshaFaxNo,UDD026TelNo,TelNo,,,,,事業者FAX番号,A
torokuHokenshaNo,bpchar,RString,,,,,登録保険者番号,A
juryoininUmu,UDD035Code,Code,,,,,受領委任の有無,A
torokuKaishiYMD,UDD015YMD,FlexibleDate,,,,,登録開始日,A
torokuShuryoYMD,UDD015YMD,FlexibleDate,,,,,登録終了日,A
kanrishaName,UDD042AtenaMeisho,AtenaMeisho,,,,,管理者氏名,A
kanrishaNameKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,管理者氏名カナ,A
kanrishaYubinNo,UDD003YubinNo,YubinNo,,,,,管理者住所郵便番号,A
kanrishaAddress,UDD046AtenaJusho,AtenaJusho,,,,,管理者住所,A
kanrishaAddressKana,varchar,RString,,,,,管理者住所カナ,A
kozaJohoJunkyoKubun,bpchar,RString,,,,,口座情報準拠区分,A
ginkoCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,銀行コード,A
shitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,支店コード,A
kozaShubetsu,UDD035Code,Code,,,,,口座種別,A
kozaNo,varchar,RString,,,,,口座番号,A
kozaMeiginin,UDD042AtenaMeisho,AtenaMeisho,,,,,口座名義人,A
kozaMeigininKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,口座名義人カナ,A
shakaiFukushihoujinKeigenjigyouJisshi_umu,UDD035Code,Code,,,,,社会福祉法人軽減事業実施の有無,A
seikatsuhogohouShitei_umu,UDD035Code,Code,,,,,生活保護法による指定の有無,A
shisetsunadoKubun,UDD035Code,Code,,,,,施設等の区分,A
jininHaichiKubun,UDD035Code,Code,,,,,人員配置区分,A
tokubetsuChiikiKasan_umu,UDD035Code,Code,,,,,特別地域加算の有無,A
kinkyujiHomonkaigoKasan_umu,UDD035Code,Code,,,,,緊急時訪問介護加算の有無,A
tokubetsuKanriTaisei,UDD035Code,Code,,,,,特別管理体制,A
kinoKunrenShidoTaisei_umu,UDD035Code,Code,,,,,機能訓練指導体制の有無,A
shokujiTeikyoTaisei_umu,UDD035Code,Code,,,,,食事提供体制の有無,A
nyuyokuKaijoTaisei_umu,UDD035Code,Code,,,,,入浴介助体制の有無,A
tokubetsuNyuyokuKaijoTaisei_umu,UDD035Code,Code,,,,,特別入浴介助体制の有無,A
joukinsenjuIshiHaichi_umu,UDD035Code,Code,,,,,常勤専従医師配置の有無,A
ishiHaichiKijun,UDD035Code,Code,,,,,医師の配置基準,A
seisinkaIshiTeikitekiRyouyousidou_umu,UDD035Code,Code,,,,,精神科医師定期的療養指導の有無,A
yakanKinmuJokenKijun,UDD035Code,Code,,,,,夜間勤務条件基準,A
ninchishouSenmontou_umu,UDD035Code,Code,,,,,認知症専門棟の有無,A
shokujiTeikyoJokyo,UDD035Code,Code,,,,,食事提供の状況,A
sougeiTaisei,UDD035Code,Code,,,,,送迎体制,A
rehaTeikyoTaisei_SogoRehaShisetsu_umu,UDD035Code,Code,,,,,リハビリテーション提供体制（総合リハビリテーション施設）の有無,A
rehaTeikyoTaisei_RigakuRyohoII_umu,UDD035Code,Code,,,,,リハビリテーション提供体制（理学療法Ⅱ）の有無,A
rehaTeikyoTaisei_RigakuRyohoIII_umu,UDD035Code,Code,,,,,リハビリテーション提供体制（理学療法Ⅲ）の有無,A
rehaTeikyoTaisei_SagyoRyohoII_umu,UDD035Code,Code,,,,,リハビリテーション提供体制（作業療法Ⅱ）の有無,A
rehaTeikyoTaisei_SeisinkaSagyouRyoho_umu,UDD035Code,Code,,,,,リハビリテーション提供体制（精神科作業療法）の有無,A
rehaTeikyoTaisei_Sonota_umu,UDD035Code,Code,,,,,リハビリテーション提供体制（その他）の有無,A
rehabilitationKasanJokyo,UDD035Code,Code,,,,,リハビリテーションの加算状況の有無,A
ryoyoKankyoKijun,UDD035Code,Code,,,,,療養環境基準,A
ishiKetuinGenzanJokyo_umu,UDD035Code,Code,,,,,医師の欠員による減算の状況の有無,A
kangoShokuinKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,看護職員の欠員による減算の状況の有無,A
rigakuRyouhousiKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,理学療法士の欠員による減算の状況の有無,A
sagyouRyouhousiKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,作業療法士の欠員による減算の状況の有無,A
kaigoShokuinKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,介護職員の欠員による減算の状況の有無,A
kaigoSienSenmoninShokuinKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,介護支援専門員の欠員による減算の状況の有無,A
kaigoJujishaKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,介護従業者の欠員による減算の状況の有無,A
kansenTaisakuSidoKanri_umu,UDD035Code,Code,,,,,感染対策指導管理の有無,A
jushoHifuKaiyouShidoKanri_umu,UDD035Code,Code,,,,,重症皮膚潰瘍指導管理の有無,A
yakuzaiKaniriShido_umu,UDD035Code,Code,,,,,薬剤管理指導の有無,A
shogaishaSeikatsuShienTaisei_umu,UDD035Code,Code,,,,,障害者生活支援体制の有無,A
chiikiKubunCode,UDD035Code,Code,,,,,地域区分コード,A
jikanEnchoServiceTaisei,UDD035Code,Code,,,,,時間延長サービス体制,A
kobetsuRehabilitationTeikyoTaisei,UDD035Code,Code,,,,,個別リハビリテーション提供体制,A
kyojuhiTaisaku,UDD035Code,Code,,,,,居住費対策,A
yakanCare_umu,UDD035Code,Code,,,,,夜間ケアの有無,A
rehabilitationKinoKyoka_umu,UDD035Code,Code,,,,,リハビリテーション機能強化の有無,A
kobetsuRehaTeikyoTaisei_SogoRehaShisetsu_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（総合リハビリテーション施設）の有無,A
kobetsuRehaTeikyoTaisei_RigakuRyohoII_umu1,UDD035Code,Code,,,,,個別リハビリテーション提供体制（理学療法Ⅱ）の有無1,A
kobetsuRehaTeikyoTaisei_RigakuRyohoIII_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（理学療法Ⅲ）の有無,A
kobetsuRehaTeikyoTaisei_SagyoRyohoII_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（作業療法Ⅱ）の有無,A
kobetsuRehaTeikyoTaisei_GengoChokakuRyohoI_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（言語聴覚療法Ⅰ）の有無,A
kobetsuRehaTeikyoTaisei_GengoChokakuRyohoII_umu,UDD035Code,Code,,,,,個別リハビリテーション提供体制（言語聴覚療法Ⅱ）の有無,A
gengoChokakushiKetsuinGenzanJokyo_umu,UDD035Code,Code,,,,,言語聴覚士の欠員による減算の状況の有無,A
eiyouKanriHyoka,UDD035Code,Code,,,,,栄養管理の評価,A
tokuteijigyoushoKasan_HomonKaigo_umu,UDD035Code,Code,,,,,特定事業所加算（訪問介護）の有無,A
jakunenseiNinchishoCareTaisei_umu,UDD035Code,Code,,,,,若年性認知症ケア体制の有無,A
undokiKinoKojoTaisei_umu,UDD035Code,Code,,,,,運動器機能向上体制の有無,A
eiyoManagement_KaizenTaisei_umu,UDD035Code,Code,,,,,栄養マネジメント（改善）体制の有無,A
kokuKinoKojoTaisei_umu,UDD035Code,Code,,,,,口腔機能向上体制の有無,A
jigyoshoHyokaKasan_Moshide_umu,UDD035Code,Code,,,,,事業所評価加算（申出）の有無,A
jigyoshoHyokaKasan_Kettei_umu,UDD035Code,Code,,,,,事業所評価加算（決定）の有無,A
kinkyuUkeireTaisei_umu,UDD035Code,Code,,,,,緊急受入体制の有無,A
yakanKangoTaisei_umu,UDD035Code,Code,,,,,夜間看護体制の有無,A
tokuteijigyoshoKasan_Kyotakukaigoshien_umu,UDD035Code,Code,,,,,特定事業所加算（居宅介護支援）の有無,A
kaigoShienSemmoninSenjuJokinshaNinsu,int2,int,,,,,介護支援専門員数（専従の常勤者）,A
