serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,サービス種類コード,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,DbUDD006ServiceKomokuCode,,,,,サービス項目コード,A
tekiyoKaishiYM,UDD014YM,FlexibleYearMonth,,,,,適用開始年月,A
rirekiNo,int2,int,,,,,履歴番号,A
tekiyoShuryoYM,UDD014YM,FlexibleYearMonth,,,,,適用終了年月,A
serviceMeisho,varchar,RString,,,,,サービス名称,A
taniSu,numeric,Decimal,,,,,単位数,A
taniSuShikibetsu,varchar,RString,,,,,単位数識別,A
santeiTani,varchar,RString,,,,,算定単位,A
goseiShikibetsuKubun,varchar,RString,,,,,合成識別区分,A
tokuteiShinryoKubunCode,varchar,RString,,,,,特定診療区分コード,A
tokuteiShinryoKomokuCode,varchar,RString,,,,,特定診療項目コード,A
santeiSeiyakuKikan,varchar,RString,,,,,算定制約期間,A
santeiSeiyakuKaisu,numeric,Decimal,,,,,算定制約回数,A
