shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
kaigoJigyoshaNo,varchar,RString,,,,,介護事業者番号,A
jigyoshaNo,varchar,RString,,,,,事業者番号,A
kaigoJigyoshaJokyo,bpchar,RString,,,,,介護事業者状況,A
jigyoshaMeisho,varchar,RString,,,,,事業者名称,A
jigyoshaMeishoKana,varchar,RString,,,,,事業者名称カナ,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jusho,varchar,RString,,,,,住所,A
jushoKana,varchar,RString,,,,,住所カナ,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
ginkoCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,銀行コード,A
shitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,支店コード,A
kozaShubetsu,UDD035Code,Code,,,,,口座種別,A
kozaNo,UDD035Code,Code,,,,,口座番号,A
kozaMeiginin,bpchar,RString,,,,,口座名義人,A
kozaMeigininKana,bpchar,RString,,,,,口座名義人カナ,A
chosaItakuKubunCode,UDD035Code,Code,,,,,調査委託区分コード,A
waritsukeTeiin,int2,int,,,,,割付定員,A
waritsukeChiku,UDD011ChikuCode,ChikuCode,,,,,割付地区,A
kikanKubunCode,UDD035Code,Code,,,,,機関の区分コード,A
