hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,被保険者番号,A
dataSetRecordKey,varchar,RString,,,,,データセットレコードキー,A
teikyoNichiji,UDD019Timestamp,RDateTime,,,,,提供日時,A
shinkiIdoKubun,varchar,RString,,,,,新規異動区分,A
teikyoKubun,varchar,RString,,,,,提供区分,A
tokuteiKojinJohoMeiCode,varchar,RString,,,,,特定個人情報名コード,A
hanNo,varchar,RString,,,,,版番号,A
dataSetNo,varchar,RString,,,,,データセット番号,A
kokaiYMD,UDD015YMD,FlexibleDate,,,,,公開年月日,A
tateNo,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
soshinNaiyo01,text,RString,,,,,送信内容１,A
misetteiJiyu01,text,RString,,,,,未設定事由１,A
soshinNaiyo02,text,RString,,,,,送信内容２,A
misetteiJiyu02,text,RString,,,,,未設定事由２,A
soshinNaiyo03,text,RString,,,,,送信内容３,A
misetteiJiyu03,text,RString,,,,,未設定事由３,A
soshinNaiyo04,text,RString,,,,,送信内容４,A
misetteiJiyu04,text,RString,,,,,未設定事由４,A
soshinNaiyo05,text,RString,,,,,送信内容５,A
misetteiJiyu05,text,RString,,,,,未設定事由５,A
soshinNaiyo06,text,RString,,,,,送信内容６,A
misetteiJiyu06,text,RString,,,,,未設定事由６,A
soshinNaiyo07,text,RString,,,,,送信内容７,A
misetteiJiyu07,text,RString,,,,,未設定事由７,A
soshinNaiyo08,text,RString,,,,,送信内容８,A
misetteiJiyu08,text,RString,,,,,未設定事由８,A
soshinNaiyo09,text,RString,,,,,送信内容９,A
misetteiJiyu09,text,RString,,,,,未設定事由９,A
soshinNaiyo10,text,RString,,,,,送信内容１０,A
misetteiJiyu10,text,RString,,,,,未設定事由１０,A
