hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,hihokenshaNo,A
idoYMD,UDD015YMD,FlexibleDate,,,,,idoYMD,A
edaNo,bpchar,RString,,,,,edaNo,A
idoJiyuCode,varchar,RString,,,,,idoJiyuCode,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,shichosonCode,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
shikakuShutokuJiyuCode,varchar,RString,,,,,shikakuShutokuJiyuCode,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,shikakuShutokuYMD,A
shikakuShutokuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,shikakuShutokuTodokedeYMD,A
ichigoShikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,ichigoShikakuShutokuYMD,A
hihokennshaKubunCode,varchar,RString,,,,,hihokennshaKubunCode,A
shikakuSoshitsuJiyuCode,varchar,RString,,,,,shikakuSoshitsuJiyuCode,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,shikakuSoshitsuYMD,A
shikakuSoshitsuYMDCmp,varchar,RString,,,,,shikakuSoshitsuYMDCmp,A
shikakuSoshitsuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,shikakuSoshitsuTodokedeYMD,A
shikakuHenkoJiyuCode,varchar,RString,,,,,shikakuHenkoJiyuCode,A
shikakuHenkoYMD,UDD015YMD,FlexibleDate,,,,,shikakuHenkoYMD,A
shikakuHenkoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,shikakuHenkoTodokedeYMD,A
jushochitokureiTekiyoJiyuCode,varchar,RString,,,,,jushochitokureiTekiyoJiyuCode,A
jushochitokureiTekiyoYMD,UDD015YMD,FlexibleDate,,,,,jushochitokureiTekiyoYMD,A
jushochitokureiTekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,jushochitokureiTekiyoTodokedeYMD,A
jushochitokureiKaijoJiyuCode,varchar,RString,,,,,jushochitokureiKaijoJiyuCode,A
jushochitokureiKaijoYMD,UDD015YMD,FlexibleDate,,,,,jushochitokureiKaijoYMD,A
jushochitokureiKaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,jushochitokureiKaijoTodokedeYMD,A
jushochiTokureiFlag,varchar,RString,,,,,jushochiTokureiFlag,A
koikinaiJushochiTokureiFlag,varchar,RString,,,,,koikinaiJushochiTokureiFlag,A
koikinaiTokureiSochimotoShichosonCode,UDD023LasdecCode,LasdecCode,,,,,koikinaiTokureiSochimotoShichosonCode,A
kyuShichosonCode,UDD023LasdecCode,LasdecCode,,,,,kyuShichosonCode,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
