shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,shikibetsuCode,A
idoYMD,UDD015YMD,FlexibleDate,,,,,idoYMD,A
edaNo,bpchar,RString,,,,,edaNo,A
idoJiyuCode,varchar,RString,,,,,idoJiyuCode,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,shichosonCode,A
tekiyoJiyuCode,varchar,RString,,,,,tekiyoJiyuCode,A
tekiyoYMD,UDD015YMD,FlexibleDate,,,,,tekiyoYMD,A
tekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,tekiyoTodokedeYMD,A
tekiyoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,tekiyoUketsukeYMD,A
kaijoJiyuCode,varchar,RString,,,,,kaijoJiyuCode,A
kaijoYMD,UDD015YMD,FlexibleDate,,,,,kaijoYMD,A
kaijoYMDDCmp,varchar,RString,,,,,kaijoYMDDCmp,A
kaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,kaijoTodokedeYMD,A
kaijoUketsukeYMD,UDD015YMD,FlexibleDate,,,,,kaijoUketsukeYMD,A
sochiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,sochiHokenshaNo,A
sochiHihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,sochiHihokenshaNo,A
tatokuRenrakuhyoHakkoYMD,UDD015YMD,FlexibleDate,,,,,tatokuRenrakuhyoHakkoYMD,A
shisetsuTaishoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,shisetsuTaishoTsuchiHakkoYMD,A
shisetsuHenkoTsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,shisetsuHenkoTsuchiHakkoYMD,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
