shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,shinseishoKanriNo,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,hihokenshaNo,A
rirekiNo,varchar,RString,,,,,rirekiNo,A
torikomiTimestamp,UDD018YMDHMS,YMDHMS,,,,,torikomiTimestamp,A
torikomiKubun,varchar,RString,,,,,torikomiKubun,A
shinseiShubetsuCode,varchar,RString,,,,,shinseiShubetsuCode,A
torisageKubunCode,varchar,RString,,,,,torisageKubunCode,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,shinseiYMD,A
iryoKikanCode,varchar,RString,,,,,iryoKikanCode,A
shujiiCode,varchar,RString,,,,,shujiiCode,A
ikenshoIraiYMD,UDD015YMD,FlexibleDate,,,,,ikenshoIraiYMD,A
ikenshoToriyoseYMD,UDD015YMD,FlexibleDate,,,,,ikenshoToriyoseYMD,A
chosaItakuYMD,UDD015YMD,FlexibleDate,,,,,chosaItakuYMD,A
chosaShuryoYMD,UDD015YMD,FlexibleDate,,,,,chosaShuryoYMD,A
chosaItakusakiCode,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,chosaItakusakiCode,A
chosainCode,varchar,RString,,,,,chosainCode,A
ichijiHanteiYMD,UDD015YMD,FlexibleDate,,,,,ichijiHanteiYMD,A
ichijiHanteiKekkaCode,varchar,RString,,,,,ichijiHanteiKekkaCode,A
ichijiHanteiKekkaKasanCode,varchar,RString,,,,,ichijiHanteiKekkaKasanCode,A
shinsakaiShiryoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,shinsakaiShiryoSakuseiYMD,A
shinsakaiYoteiYMD,UDD015YMD,FlexibleDate,,,,,shinsakaiYoteiYMD,A
gogitaiNo,int2,int,,,,,gogitaiNo,A
nijiHanteiYMD,UDD015YMD,FlexibleDate,,,,,nijiHanteiYMD,A
nijiHanteiKekkaCode,varchar,RString,,,,,nijiHanteiKekkaCode,A
ninteiYukoKikanStart,UDD015YMD,FlexibleDate,,,,,ninteiYukoKikanStart,A
ninteiYukoKikanEnd,UDD015YMD,FlexibleDate,,,,,ninteiYukoKikanEnd,A
serviceHenkoRiyuCode,varchar,RString,,,,,serviceHenkoRiyuCode,A
tokuteiShippeiCode,varchar,RString,,,,,tokuteiShippeiCode,A
shogaiKoreiJiritsudo,varchar,RString,,,,,shogaiKoreiJiritsudo,A
ninchishoKoreiJiritsudo,varchar,RString,,,,,ninchishoKoreiJiritsudo,A
shinsakaiIken,varchar,RString,,,,,shinsakaiIken,A
versionNo,varchar,RString,,,,,versionNo,A
ichijiHanteiNaiyo,varchar,RString,,,,,ichijiHanteiNaiyo,A
ichijiHanteiNaiyo2,varchar,RString,,,,,ichijiHanteiNaiyo2,A
zenTorikomiTimestamp,UDD018YMDHMS,YMDHMS,,,,,zenTorikomiTimestamp,A
keshikomiFlag,varchar,RString,,,,,keshikomiFlag,A
keshikomiTimestamp,UDD018YMDHMS,YMDHMS,,,,,keshikomiTimestamp,A
yobiKomoku1,varchar,RString,,,,,yobiKomoku1,A
yobiKomoku2,varchar,RString,,,,,yobiKomoku2,A
yobiKomoku3,varchar,RString,,,,,yobiKomoku3,A
yobiKomoku4,varchar,RString,,,,,yobiKomoku4,A
yobiKomoku5,varchar,RString,,,,,yobiKomoku5,A
yobiKubun1,varchar,RString,,,,,yobiKubun1,A
yobiKubun2,varchar,RString,,,,,yobiKubun2,A
yobiKubun3,varchar,RString,,,,,yobiKubun3,A
yobiKubun4,varchar,RString,,,,,yobiKubun4,A
yobiKubun5,varchar,RString,,,,,yobiKubun5,A
reserve,varchar,RString,,,,,reserve,A
