shinseishoKanriNo,DbUDD013ShinseishoKanriNo,ShinseishoKanriNo,,,,,shinseishoKanriNo,A
ikenshoIraiRirekiNo,int2,int,,,,,ikenshoIraiRirekiNo,A
koroshoIfShikibetsuCode,UDD035Code,Code,,,,,koroshoIfShikibetsuCode,A
shujiiIryokikanCode,varchar,RString,,,,,shujiiIryokikanCode,A
shujiiCode,varchar,RString,,,,,shujiiCode,A
ikenshoIraiKubun,bpchar,RString,,,,,ikenshoIraiKubun,A
ikenshoIraiKaisu,int2,int,,,,,ikenshoIraiKaisu,A
ishiKubunCode,UDD035Code,Code,,,,,ishiKubunCode,A
ikenshoSakuseiIraiYMD,UDD015YMD,FlexibleDate,,,,,ikenshoSakuseiIraiYMD,A
ikenshoSakuseiKigenYMD,UDD015YMD,FlexibleDate,,,,,ikenshoSakuseiKigenYMD,A
teishutsuIraishoShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,teishutsuIraishoShutsuryokuYMD,A
ikenshoShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,ikenshoShutsuryokuYMD,A
seikyushoShutsuryokuYMD,UDD015YMD,FlexibleDate,,,,,seikyushoShutsuryokuYMD,A
sakuseiryoSeikyuKubun,UDD035Code,Code,,,,,sakuseiryoSeikyuKubun,A
ikenshoSakuseiTokusokuYMD,UDD015YMD,FlexibleDate,,,,,ikenshoSakuseiTokusokuYMD,A
ikenshoSakuseiTokusokuHoho,bpchar,RString,,,,,ikenshoSakuseiTokusokuHoho,A
ikenshoTokusokuKaisu,int2,int,,,,,ikenshoTokusokuKaisu,A
ikenshoTokusokuMemo,text,RString,,,,,ikenshoTokusokuMemo,A
ninteiJohoTeikyoKiboFlag,bool,boolean,,,,,ninteiJohoTeikyoKiboFlag,A
ninteiJohoTeikyoYMD,UDD015YMD,FlexibleDate,,,,,ninteiJohoTeikyoYMD,A
logicalDeletedFlag,bool,boolean,,,,,logicalDeletedFlag,A
