jigyoshaNo,UDD060KaigoJigyoshaNo,UDD060KaigoJigyoshaNo,,,,,事業者番号,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,有効開始日,A
yukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,有効終了日,A
idoYMD,UDD015YMD,FlexibleDate,,,,,異動日,A
idoJiyuCode,varchar,RString,,,,,異動事由,A
jigyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,事業開始日,A
jigyoKyushiYMD,UDD015YMD,FlexibleDate,,,,,事業休止日,A
jigyoSaikaiYMD,UDD015YMD,FlexibleDate,,,,,事業再開日,A
jigyoHaishiYMD,UDD015YMD,FlexibleDate,,,,,事業廃止日,A
jigyoshaName,UDD042AtenaMeisho,AtenaMeisho,,,,,事業者名称,A
jigyoshaNameKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,事業者名称カナ,A
yubinNo,UDD003YubinNo,YubinNo,,,,,郵便番号,A
jigyoshaAddress,UDD046AtenaJusho,AtenaJusho,,,,,事業者住所,A
jigyoshaKanaAddress,varchar,RString,,,,,事業者住所カナ,A
telNo,UDD026TelNo,TelNo,,,,,電話番号,A
faxNo,UDD026TelNo,TelNo,,,,,FAX番号,A
atesakiBusho,varchar,RString,,,,,宛先部署,A
atesakininName,UDD042AtenaMeisho,AtenaMeisho,,,,,宛先人名,A
atesakininNamekana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,宛先人名カナ,A
shiteiKijungaitoJigyoshaKubun,UDD035Code,Code,,,,,指定／基準該当等事業所区分,A
shozaiShichoson,varchar,RString,,,,,所在市町村,A
serviceJisshiChiiki,varchar,RString,,,,,サービス実施地域,A
hojinShubetsu,UDD035Code,Code,,,,,法人等種別,A
bedSu,int2,int,,,,,ベッド数,A
shozokuNinzu,int4,int,,,,,所属人数,A
riyoshaSu,int4,int,,,,,利用者数,A
biko,varchar,RString,,,,,備考,A
