jigyoshaNo,UDD060KaigoJigyoshaNo,UDD060KaigoJigyoshaNo,,,,,事業者番号,A
yukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,有効開始日,A
daihyoshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,代表者名,A
daihyoshaKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,代表者名カナ,A
daihyoshaYubinNo,UDD003YubinNo,YubinNo,,,,,代表者郵便番号,A
daihyoshaJusho,UDD046AtenaJusho,AtenaJusho,,,,,代表者住所,A
daihyoshaKanaJusho,varchar,RString,,,,,代表者住所カナ,A
daihyoshaYakushokuMei,varchar,RString,,,,,代表者役職名,A
kaisetsushaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,開設者名称,A
kaisetsushaKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,開設者名称カナ,A
kaisetsushaYubinNo,UDD003YubinNo,YubinNo,,,,,開設者郵便番号,A
kaisetsushaJusho,UDD046AtenaJusho,AtenaJusho,,,,,開設者住所,A
kaisetsushaKanaJusho,varchar,RString,,,,,開設者住所カナ,A
kaisetsushaTelNo,UDD026TelNo,TelNo,,,,,開設者電話番号,A
kaisetsushaFaxNo,UDD026TelNo,TelNo,,,,,開設者ＦＡＸ番号,A
