serviceShuruiCode,UDD061KaigoServiceShuruiCode,KaigoServiceShuruiCode,,,,,サービス種類コード,A
serviceKoumokuCode,bpchar,RString,,,,,サービス項目コード,A
teikyoKaishiYM,UDD014YM,FlexibleYearMonth,,,,,提供開始年月,A
rirekiNo,numeric,Decimal,,,,,履歴番号,A
teikyoShuryoYM,UDD014YM,FlexibleYearMonth,,,,,提供終了年月,A
serviceName,varchar,RString,,,,,サービス名称,A
serviceNameRyaku,varchar,RString,,,,,サービス略称,A
taniSu,int4,int,,,,,単位数,A
tanisuShikibetsuCode,UDD035Code,TanisuShikibetsu,,,,,単位数識別,A
tanisuSanteiTani,UDD035Code,TanisuSanteiTani,,,,,単位数算定単位,A
idouJiyuCode,UDD035Code,Code,,,,,異動事由,A
