shichosonCode,UDD023LasdecCode,LasdecCode,,,,,A
hihokenshaNo,varchar,KaigoHihokenshaNo,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
shikakuShutokuJiyuCode,varchar,KaigoshikakuShutokuJiyuHihokensha,,,,,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,A
shikakuShutokuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,A
ichigoHihokenshaNenreiTotatsuYMD,UDD015YMD,FlexibleDate,,,,,A
hihokennshaKubunCode,varchar,Code,,,,,A
shikakuSoshitsuJiyuCode,varchar,KaigoshikakuSoshitsuJiyuHihokennsha,,,,,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,A
shikakuSoshitsuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,A
jushochiTokureiFlag,varchar,RString,,,,,A
shikakuHenkoJiyuCode,varchar,KaigoshikakuHenkoJiyuHihokensha,,,,,A
shikakuHenkoYMD,UDD015YMD,FlexibleDate,,,,,A
shikakuHenkoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,A
jushochitokureiTekiyoJiyuCode,varchar,KaigoshikakuJutokuTekiyo,,,,,A
jushochitokureiTekiyoYMD,UDD015YMD,FlexibleDate,,,,,A
jushochitokureiTekiyoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,A
jushochitokureiKaijoJiyuCode,varchar,KaigoshikakuJutokuKaijo,,,,,A
jushochitokureiKaijoYMD,UDD015YMD,FlexibleDate,,,,,A
jushochitokureiKaijoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,A
koikinaiJushochiTokureiFlag,varchar,RString,,,,,A
koikinaiTokureiSochimotoShichosonCode,UDD023LasdecCode,LasdecCode,,,,,A
kyuShichosonCode,UDD023LasdecCode,LasdecCode,,,,,A
saikofuKubun,varchar,RString,,,,,A
saikofuJiyuCode,varchar,KofuJiyu,,,,,A
chohyoKofuRirekiID,varchar,RString,,,,,A
