shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,識別コード,A
rirekiNo,int2,int,,,,,履歴番号,A
shichosonCode,UDD023LasdecCode,LasdecCode,,,,,市町村コード,A
sakuseiJiyuCode,varchar,RString,,,,,作成事由コード,A
setaiCode,UDD051SetaiCode,SetaiCode,,,,,世帯コード,A
juminShubetsuCode,varchar,RString,,,,,住民種別コード,A
juminJotaiCode,varchar,RString,,,,,住民状態コード,A
atenaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,宛名氏名,A
atenaKanaShimei,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,宛名カナ氏名,A
seinengappiYMD,UDD015YMD,FlexibleDate,,,,,生年月日,A
seibetsuCode,varchar,RString,,,,,性別コード,A
idoJiyuCode,varchar,RString,,,,,異動事由コード,A
torokuIdoYMD,UDD015YMD,FlexibleDate,,,,,登録異動年月日,A
torokuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,登録異動届出年月日,A
shojoIdoYMD,UDD015YMD,FlexibleDate,,,,,消除異動年月日,A
shojoTodokedeYMD,UDD015YMD,FlexibleDate,,,,,消除異動届出年月日,A
tenshutsuYoteiIdoYMD,UDD015YMD,FlexibleDate,,,,,転出予定異動年月日,A
tenshutsuKakuteiIdoYMD,UDD015YMD,FlexibleDate,,,,,転出確定異動年月日,A
tenshutsuKakuteiTsuchiYMD,UDD015YMD,FlexibleDate,,,,,転出確定異動通知年月日,A
zenkokuJushoCode,varchar,RString,,,,,全国住所コード,A
jusho,UDD046AtenaJusho,AtenaJusho,,,,,住所,A
banchi,UDD047AtenaBanchi,AtenaBanchi,,,,,番地,A
katagaki,UDD010Katagaki,Katagaki,,,,,方書,A
tenshutsuYoteiZenkokuJushoCode,UDD004ZenkokuJushoCode,ZenkokuJushoCode,,,,,転出予定全国住所コード,A
tenshutsuYoteiJusho,UDD046AtenaJusho,AtenaJusho,,,,,転出予定住所,A
tenshutsuYoteiBanchi,UDD047AtenaBanchi,AtenaBanchi,,,,,転出予定番地,A
tenshutsuYoteiKatagaki,UDD010Katagaki,Katagaki,,,,,転出予定方書,A
tenshutsuKakuteiZenkokuJushoCode,UDD004ZenkokuJushoCode,ZenkokuJushoCode,,,,,転出確定全国住所コード,A
tenshutsuKakuteiJusho,UDD046AtenaJusho,AtenaJusho,,,,,転出確定住所,A
tenshutsuKakuteiBanchi,UDD047AtenaBanchi,AtenaBanchi,,,,,転出確定番地,A
tenshutsuKakuteiKatagaki,UDD010Katagaki,Katagaki,,,,,転出確定方書,A
