shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
shoriTimeStamp,UDD018YMDHMS,YMDHMS,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shinsei_HaishiKubun,varchar,RString,,,,,A
shinsei_HaishiYMD,UDD015YMD,FlexibleDate,,,,,A
hogoHuyoKonkyoGengakuKingaku,numeric,Decimal,,,,,A
kyokaisoShomeishoKofuYMD,UDD015YMD,FlexibleDate,,,,,A
kyufuGengakuTorikeshi_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,A
kyojuhiKeigen_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,A
kyojuhiKeigen_FutangendogakuDankaiCode,varchar,RString,,,,,A
shokuhiKeigen_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,A
shokuhiKeigen_FutangendogakuDankaiCode,varchar,RString,,,,,A
riyoshaFutanSetaiGassanGaku_GengakuJokofutanGetsugaku,numeric,Decimal,,,,,A
hokenryoGengaku_GengakuJikofutanGetsugaku,numeric,Decimal,,,,,A
gengakuJikofutanGetsugakuGokeigaku,numeric,Decimal,,,,,A
kyukaisoSochiKetteiYMD,UDD015YMD,FlexibleDate,,,,,A
sochiGaito_HigaitoKubun,varchar,RString,,,,,A
