fukaNendo,UDD012YSeireki,FlexibleYear,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shoriTimestamp,timestamp,RDateTime,,,,,A
choshuHoho4gatsu,varchar,RString,,,,,A
choshuHoho5gatsu,varchar,RString,,,,,A
choshuHoho6gatsu,varchar,RString,,,,,A
choshuHoho7gatsu,varchar,RString,,,,,A
choshuHoho8gatsu,varchar,RString,,,,,A
choshuHoho9gatsu,varchar,RString,,,,,A
choshuHoho10gatsu,varchar,RString,,,,,A
choshuHoho11gatsu,varchar,RString,,,,,A
choshuHoho12gatsu,varchar,RString,,,,,A
choshuHoho1gatsu,varchar,RString,,,,,A
choshuHoho2gatsu,varchar,RString,,,,,A
choshuHoho3gatsu,varchar,RString,,,,,A
choshuHohoYoku4gatsu,varchar,RString,,,,,A
choshuHohoYoku5gatsu,varchar,RString,,,,,A
choshuHohoYoku6gatsu,varchar,RString,,,,,A
choshuHohoYoku7gatsu,varchar,RString,,,,,A
choshuHohoYoku8gatsu,varchar,RString,,,,,A
choshuHohoYoku9gatsu,varchar,RString,,,,,A
kariNenkinNo,varchar,RString,,,,,A
kariNenkinCode,varchar,RString,,,,,A
kariHosokuM,varchar,RString,,,,,A
honNenkinNo,varchar,RString,,,,,A
honNenkinCode,varchar,RString,,,,,A
honHosokuM,varchar,RString,,,,,A
yokunendoKariNenkinNo,varchar,RString,,,,,A
yokunendoKariNenkinCode,varchar,RString,,,,,A
yokunendoKariHosokuM,varchar,RString,,,,,A
iraiSohuzumiFlag,bool,boolean,,,,,A
tsuikaIraiSohuzumiFlag,bool,boolean,,,,,A
tokuchoTeishiTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
tokuchoTeishiJiyuCode,varchar,RString,,,,,A
