choteiNendo,UDD012YSeireki,FlexibleYear,,,,,A
fukaNendo,UDD012YSeireki,FlexibleYear,,,,,A
tsuchishoNo,DbUDD008TsuchishoNo,DbUDD008TsuchishoNo,,,,,A
shoriTimestamp,timestamp,RDateTime,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,A
torikeshiYMD,UDD015YMD,FlexibleDate,,,,,A
jotaiKubun,varchar,RString,,,,,A
sakuseiKubun,varchar,RString,,,,,A
shinseiJiyu,text,RString,,,,,A
yuyoJiyuCode,UDD035Code,Code,,,,,A
yuyoJiyu,text,RString,,,,,A
yuyoTorikeshiJiyuCode,UDD035Code,Code,,,,,A
yuyoTorikeshiJiyu,text,RString,,,,,A
