idoYMD,UDD015YMD,FlexibleDate,,,,,A
idoKubunCode,varchar,RString,,,,,A
jukyushaIdoJiyu,varchar,RString,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
hiHokenshaNameKana,varchar,RString,,,,,A
umareYMD,UDD015YMD,FlexibleDate,,,,,A
seibetsuCode,varchar,RString,,,,,A
shikakuShutokuYMD,UDD015YMD,FlexibleDate,,,,,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,A
rojinHokenShichosonNo,varchar,RString,,,,,A
rojinHokenJukyushaNo,varchar,RString,,,,,A
kohiFutanshaNo,varchar,RString,,,,,A
koikiRengoHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shinseiShubetsuCode,varchar,RString,,,,,A
henkoShinseichuKubunCode,varchar,RString,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
minashiYokaigoJotaiKubunCode,varchar,RString,,,,,A
yokaigoJotaiKubunCode,varchar,RString,,,,,A
ninteiYukoKikankaishiYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiYukoKikanShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kyotakuServiceSakuseiKubunCode,varchar,RString,,,,,A
kyotakuKaigoShienJigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
kyotakuServiceTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
kyotakuServiceTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
homonTsushoServiceShikyuGendoKijungaku,int4,int,,,,,A
homonTsushoServiceJogenKanriTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
homonTsushoServiceJogenKanriTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
tankiNyushoServiceShikyuGendoKijungaku,int2,int,,,,,A
tankinyushoServiceJogenKanriTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
tankinyushoServiceJogenKanriTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kohiFutanJogenGengakuAriFlag,bool,boolean,,,,,A
shokanbaraikaKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shokanbaraikaShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kyufuritsuHikisageKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
kyufuritsuHikisageShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
gemmenShinseichuKubunCode,varchar,RString,,,,,A
riyoshaFutanKubunCode,varchar,RString,,,,,A
kyufuritsu,DbUDD011HokenKyufuRitsu,DbUDD011HokenKyufuRitsu,,,,,A
tekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
tekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
hyojunFutanKubunCode,varchar,RString,,,,,A
futangaku,int4,int,,,,,A
futangakuTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
futangakuTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
tokuteiNyushoshaNinteiShinseichuKubunCode,varchar,RString,,,,,A
tokuteiNyushoshaKaigoServiceKubunCode,varchar,RString,,,,,A
kaizeisoTokureiGengakuSochiTaishoFlag,bool,boolean,,,,,A
shokuhiFutanGendogaku,int2,int,,,,,A
kyojuhiUnitGataKoshitsuFutanGendogaku,int2,int,,,,,A
kyojuhiUnitGataJunKoshitsuFutanGendogaku,int2,int,,,,,A
kyojuhiJuraiGataKoshitsuTokuyoFutanGendogaku,int2,int,,,,,A
kyojuhiJuraiGataKoshitsuRokenRyoyoFutanGendogaku,int2,int,,,,,A
kyujuhiTashoshitsuFutanGendogaku,int2,int,,,,,A
futanGendogakuTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
futanGendogakuTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
keigenritsu,int2,int,,,,,A
keigenritsuTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
keigenritsuTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shoTakinoKyotakuKaigoRiyozukiRiyoAriFlag,bool,boolean,,,,,A
kokiKoureiIryoHokenshaNo,varchar,RString,,,,,A
kokikoureiIryoHiHokenshaNo,varchar,RString,,,,,A
kokuhoHokenshaNo,varchar,RString,,,,,A
kokuhoHiHokenshaNo,varchar,RString,,,,,A
kokuhoKojinNo,varchar,RString,,,,,A
nijiyoboJigyoKubunCode,varchar,RString,,,,,A
nijiyoboJigyoYukoKikanKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
nijiyoboJigyoYukoKikanShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
teiseiRenrakuhyoFlag,bool,boolean,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
