hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
taishoYM,UDD014YM,FlexibleYearMonth,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
kyotaku_SogoJigyoKubun,varchar,RString,,,,,A
tekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
tekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
keikakuSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
keikakuHenkoYMD,UDD015YMD,FlexibleDate,,,,,A
keikakuHenkoJiyu,varchar,RString,,,,,A
