shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
kyotakushienJigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
kyufuKanrihyoSakuseiKubunCode,varchar,RString,,,,,A
kyufuKanrihyoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
kyufuKanrihyoShubetsuKubunCode,varchar,RString,,,,,A
kyufuKanrihyoMeisaiLineNo,varchar,RString,,,,,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
hiHokenshaUmareYMD,UDD015YMD,FlexibleDate,,,,,A
seibetsuCode,varchar,RString,,,,,A
yoKaigoJotaiKubunCode,varchar,RString,,,,,A
gendogakuTekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
gendogakuTekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kyotakuKaigoYoboShikyuGendogaku,numeric,Decimal,,,,,A
kyotakuServicePlanSakuseiKubunCode,varchar,RString,,,,,A
serviceJigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
shiteiKijungaitoChiikimitchakuServiceShikibetsuCode,varchar,RString,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
kyufuKeikakuTanisuNissu,numeric,Decimal,,,,,A
kyufuKeikakuNissu,numeric,Decimal,,,,,A
shiteiServiceSubTotal,numeric,Decimal,,,,,A
kijyunGaitoServiceSubTotal,numeric,Decimal,,,,,A
kyufuKeikakuTotalTanisuNissu,numeric,Decimal,,,,,A
toshoTorokuYMD,UDD015YMD,FlexibleDate,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
