kokanShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
kyufuSakuseiKubunCode,varchar,RString,,,,,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
kyufuJissekiKubunCode,varchar,RString,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
kohi1FutanshaNo,varchar,RString,,,,,A
kohi1JukyushaNo,varchar,RString,,,,,A
kohi2FutanshaNo,varchar,RString,,,,,A
kohi2JukyushaNo,varchar,RString,,,,,A
kohi3FutanshaNo,varchar,RString,,,,,A
kohi3JukyushaNo,varchar,RString,,,,,A
umareYMD,UDD015YMD,FlexibleDate,,,,,A
seibetsuCode,varchar,RString,,,,,A
yoKaigoJotaiKubunCode,varchar,RString,,,,,A
kyuSochiNyushoshaTokureiCode,varchar,RString,,,,,A
ninteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
rojinHokenShichosonNo,varchar,RString,,,,,A
rojinhokenJukyushaNo,varchar,RString,,,,,A
kokiHokenshaNo,varchar,RString,,,,,A
kokiHiHokenshaNo,varchar,RString,,,,,A
kokuhoHokenshaNo,varchar,RString,,,,,A
kokuhoHiHokenshashoNo,varchar,RString,,,,,A
kokuhoKojinNo,varchar,RString,,,,,A
kyotakuServiceSakuseiKubunCode,varchar,RString,,,,,A
kyotakuKaigoShienJigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
kaishiYMD,UDD015YMD,FlexibleDate,,,,,A
chushiYMD,UDD015YMD,FlexibleDate,,,,,A
chushiRiyuNyushomaeJyokyoCode,varchar,RString,,,,,A
nyushoYMD,UDD015YMD,FlexibleDate,,,,,A
taishoYMD,UDD015YMD,FlexibleDate,,,,,A
