kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,DbUDD006ServiceKomokuCode,,,,,A
tanisu,int2,int,,,,,A
nissuKaisu,int2,int,,,,,A
kohi1TaishoNissuKaisu,int2,int,,,,,A
kohi2TaishoNissuKaisu,int2,int,,,,,A
kohi3TaishoNissuKaisu,int2,int,,,,,A
serviceTanisu,int4,int,,,,,A
kohi1TaishoServiceTanisu,int4,int,,,,,A
kohi2TaishoServiceTanisu,int4,int,,,,,A
kohi3TaishoServiceTanisu,int4,int,,,,,A
tekiyo,varchar,RString,,,,,A
atoTanisu,int2,int,,,,,A
atoNissuKaisu,int2,int,,,,,A
atoKohi1TaishoNissuKaisu,int2,int,,,,,A
atoKohi2TaishoNissukaisu,int2,int,,,,,A
atoKohi3TaishoNissuKaisu,int2,int,,,,,A
atoServiceTanisu,int4,int,,,,,A
atoKohi1TaishoServiceTanisu,int4,int,,,,,A
atoKohi2TaishoServiceTanisu,int4,int,,,,,A
atoKohi3TaishoServiceTanisu,int4,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
