kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
recodeJunjiNo,varchar,RString,,,,,A
shobyoName,varchar,RString,,,,,A
hokenShidoKanriryo,int4,int,,,,,A
hokenTanjunXsen,int4,int,,,,,A
hokenRehabilitation,int4,int,,,,,A
hokenSeishinkaSemmonRyoho,int4,int,,,,,A
hokenTotalTanisu,int4,int,,,,,A
kohi1ShidoKanriryo,int4,int,,,,,A
kohi1TanjunXsen,int4,int,,,,,A
kohi1Rehabilitation,int4,int,,,,,A
kohi1SeishinkaSemmonRyoho,int4,int,,,,,A
kohi1TotalTanisu,int4,int,,,,,A
kohi2ShidoKanriryo,int4,int,,,,,A
kohi2TanjunXsen,int4,int,,,,,A
kohi2Rehabilitation,int4,int,,,,,A
kohi2SeishinkaSemmonRyoho,int4,int,,,,,A
kohi2TotalTanisu,int4,int,,,,,A
kohi3ShidoKanriryo,int4,int,,,,,A
kohi3TanjunXsen,int4,int,,,,,A
kohi3Rehabilitation,int4,int,,,,,A
kohi3SeishinkaSemmonRyoho,int4,int,,,,,A
kohi3TotalTanisu,int4,int,,,,,A
tekiyo1,varchar,RString,,,,,A
tekiyo2,varchar,RString,,,,,A
tekiyo3,varchar,RString,,,,,A
tekiyo4,varchar,RString,,,,,A
tekiyo5,varchar,RString,,,,,A
tekiyo6,varchar,RString,,,,,A
tekiyo7,varchar,RString,,,,,A
tekiyo8,varchar,RString,,,,,A
tekiyo9,varchar,RString,,,,,A
tekiyo10,varchar,RString,,,,,A
tekiyo11,varchar,RString,,,,,A
tekiyo12,varchar,RString,,,,,A
tekiyo13,varchar,RString,,,,,A
tekiyo14,varchar,RString,,,,,A
tekiyo15,varchar,RString,,,,,A
tekiyo16,varchar,RString,,,,,A
tekiyo17,varchar,RString,,,,,A
tekiyo18,varchar,RString,,,,,A
tekiyo19,varchar,RString,,,,,A
tekiyo20,varchar,RString,,,,,A
atoHokenShidoKanriryo,int4,int,,,,,A
atoHokenTanjunXsen,int4,int,,,,,A
atoHokenRehabilitation,int4,int,,,,,A
atoHokenSeishinkaSemmonRyoho,int4,int,,,,,A
atoKohi1ShidoKanriryo,int4,int,,,,,A
atoKohi1TanjunXsen,int4,int,,,,,A
atoKohi1Rehabilitation,int4,int,,,,,A
atoKohi1SeishinkaSemmonRyoho,int4,int,,,,,A
atoKohi2ShidoKanriryo,int4,int,,,,,A
atoKohi2TanjunXsen,int4,int,,,,,A
atoKohi2Rehabilitation,int4,int,,,,,A
atoKohi2SeishinkaSemmonRyoho,int4,int,,,,,A
atoKohi3ShidoKanriryo,int4,int,,,,,A
atoKohi3TanjunXsen,int4,int,,,,,A
atoKohi3Rehabilitation,int4,int,,,,,A
atoKohi3SeishinkaSemmonRyoho,int4,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
