kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
recodeJunjiNo,varchar,RString,,,,,A
shobyoName,varchar,RString,,,,,A
shikibetsuNo,varchar,RString,,,,,A
tanisu,int2,int,,,,,A
hokenKaisu,int2,int,,,,,A
hokenServiceTanisu,int4,int,,,,,A
hokenTotalTanisu,int4,int,,,,,A
kohi1Kaisu,int2,int,,,,,A
kohi1ServiceTanisu,int4,int,,,,,A
kohi1TotalTanisu,int4,int,,,,,A
kohi2Kaisu,int2,int,,,,,A
kohi2ServiceTanisu,int4,int,,,,,A
kohi2TotalTanisu,int4,int,,,,,A
kohi3Kaisu,int2,int,,,,,A
kohi3ServiceTanisu,int4,int,,,,,A
kohi3TotalTanisu,int4,int,,,,,A
tekiyo,varchar,RString,,,,,A
atoTanisu,int2,int,,,,,A
atoHokenKaisu,int2,int,,,,,A
atoHokenServiceTanisu,int4,int,,,,,A
atoHokenTotalTanisu,int4,int,,,,,A
atoKohi1Kaisu,int2,int,,,,,A
atoKohi1ServiceTanisu,int4,int,,,,,A
atoKohi1TotalTanisu,int4,int,,,,,A
atoKohi2Kaisu,int2,int,,,,,A
atoKohi2ServiceTanisu,int4,int,,,,,A
atoKohi2TotalTanisu,int4,int,,,,,A
atoKohi3Kaisu,int2,int,,,,,A
atoKohi3ServiceTanisu,int4,int,,,,,A
atoKohi3TotalTanisu,int4,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
