kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
kihonTeikyoNissu,int2,int,,,,,A
kihonTeikyoTanka,int2,int,,,,,A
kihonTeikyoKingaku,int2,int,,,,,A
tokubestuTeikyoNissu,int2,int,,,,,A
tokubestuTeikyoTanka,int2,int,,,,,A
tokubestuTeikyoKingaku,int2,int,,,,,A
syokujiTeikyoNissu,int2,int,,,,,A
kohi1SyokujiTeikyoNissu,int2,int,,,,,A
kohi2SyokujiTeikyoNissu,int2,int,,,,,A
kohi3SyokujiTeikyoNissu,int2,int,,,,,A
syokujiTeikyohiTotal,int2,int,,,,,A
getsugakuHyojunFutanGaku,int2,int,,,,,A
syokujiTeikyohiSeikyugaku,int2,int,,,,,A
kohi1SyokujiTeikyohiSeikyugaku,int2,int,,,,,A
kohi2SyokujiTeikyohiSeikyugaku,int2,int,,,,,A
kohi3SyokujiTeikyohiSeikyugaku,int2,int,,,,,A
nichigakuHyojunFutanGaku,int2,int,,,,,A
atoKihonTeikyoTanka,int2,int,,,,,A
atoTokubestuTeikyoTanka,int2,int,,,,,A
atoSyokujiTeikyohiSeikyugaku,int2,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
