kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
servicePlanhiMeisaiLineNo,varchar,RString,,,,,A
shiteiKijunGaitoJigyoshaKubunCode,varchar,RString,,,,,A
tanisuTanka,numeric,Decimal,,,,,A
kyotakuServiceSakuseiIraiYMD,UDD015YMD,FlexibleDate,,,,,A
serviceCode,DbUDD007ServiceCode,DbUDD007ServiceCode,,,,,A
tanisu,int2,int,,,,,A
kaisu,int2,int,,,,,A
serviceTanisu,int4,int,,,,,A
serviceTanisuTotal,int4,int,,,,,A
seikyuKingaku,int4,int,,,,,A
tantouKaigoShienSemmoninNo,varchar,RString,,,,,A
tekiyo,varchar,RString,,,,,A
atoTanisu,int2,int,,,,,A
atoKaisu,int2,int,,,,,A
atoServiceTanisu,int4,int,,,,,A
atoServiceTanisuTotal,int4,int,,,,,A
atoSeikyuKingaku,int4,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
