kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
meisaiNo,bpchar,RString,,,,,A
serviceCode,DbUDD007ServiceCode,DbUDD007ServiceCode,,,,,A
fukushiyoguHanbaiYMD,UDD015YMD,FlexibleDate,,,,,A
fukushiyoguShohinName,varchar,RString,,,,,A
fukushiyoguSyumokuCode,varchar,RString,,,,,A
fukushiyoguSeizoJigyoshaName,varchar,RString,,,,,A
fukushiyoguHanbaiJigyoshaName,varchar,RString,,,,,A
hanbaiKingaku,int4,int,,,,,A
tekiyo,varchar,RString,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
