kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
toshiNo,varchar,RString,,,,,A
kyufuSakuseiKubunCode,varchar,RString,,,,,A
kyufuJissekiKubunCode,varchar,RString,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,A
kohi1FutanNo,varchar,RString,,,,,A
kohi2FutanNo,varchar,RString,,,,,A
kohi3FutanNo,varchar,RString,,,,,A
riyoshaFutangaku,int4,int,,,,,A
kohi1Futangaku,int4,int,,,,,A
kohi2Futangaku,int4,int,,,,,A
kohi3Futangaku,int4,int,,,,,A
shikyugaku,int4,int,,,,,A
kohi1Shikyugaku,int4,int,,,,,A
kohi2Shikyugaku,int4,int,,,,,A
kohi3Shikyugaku,int4,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
sakuseiKubun,varchar,RString,,,,,A
kanriNo,varchar,RString,,,,,A
hokenshaHoyuKyufujissekiJohoSakujoZumiFlag,bool,boolean,,,,,A
