kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
recodeJunjiNo,varchar,RString,,,,,A
serviceSyuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,DbUDD006ServiceKomokuCode,,,,,A
hiyoTanka,int2,int,,,,,A
futanGendogaku,int2,int,,,,,A
nissu,int2,int,,,,,A
kohi1Nissu,int2,int,,,,,A
kohi2Nissu,int2,int,,,,,A
kohi3Nissu,int2,int,,,,,A
hiyogaku,int4,int,,,,,A
hokenbunSeikyugaku,int4,int,,,,,A
kohi1Futangaku,int4,int,,,,,A
kohi2Futangaku,int4,int,,,,,A
kohi3Futangaku,int4,int,,,,,A
riyoshaFutangaku,int4,int,,,,,A
hiyogakuTotal,int4,int,,,,,A
hokenbunSeikyugakuTotal,int4,int,,,,,A
riyoshaFutangakuTotal,int4,int,,,,,A
kohi1FutangakuTotal,int4,int,,,,,A
kohi1Seikyugaku,int4,int,,,,,A
kohi1HonninFutanGetsugaku,int4,int,,,,,A
kohi2FutangakuTotal,int4,int,,,,,A
kohi2Seikyugaku,int4,int,,,,,A
kohi2HonninFutanGetsugaku,int4,int,,,,,A
kohi3FutangakuTotal,int4,int,,,,,A
kohi3Seikyugaku,int4,int,,,,,A
kohi3HonninFutanGetsugaku,int4,int,,,,,A
atoHiyoTanka,int2,int,,,,,A
atoNissu,int2,int,,,,,A
atoKohi1Nissu,int2,int,,,,,A
atoKohi2Nissu,int2,int,,,,,A
atoKohi3Nissu,int2,int,,,,,A
atoHiyogaku,int4,int,,,,,A
atoHokenbunSeikyugaku,int4,int,,,,,A
atoKohi1Futangaku,int4,int,,,,,A
atoKohi2Futangaku,int4,int,,,,,A
atoKohi3Futangaku,int4,int,,,,,A
atoRiyoshaFutangaku,int4,int,,,,,A
atoHiyogakuTotal,int4,int,,,,,A
atoHokenbunSeikyugakuTotal,int4,int,,,,,A
atoRiyoshaFutangakuTotal,int4,int,,,,,A
atoKohi1FutangakuTotal,int4,int,,,,,A
atoKohi1Seikyugaku,int4,int,,,,,A
atoKohi1HonninFutanGetsugaku,int4,int,,,,,A
atoKohi2FutangakuTotal,int4,int,,,,,A
atoKohi2Seikyugaku,int4,int,,,,,A
atoKohi2HonninFutanGetsugaku,int4,int,,,,,A
atoKohi3FutangakuTotal,int4,int,,,,,A
atoKohi3Seikyugaku,int4,int,,,,,A
atoKohi3HonninFutanGetsugaku,int4,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
