kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
recodeJunjiNo,varchar,RString,,,,,A
kinkyuShobyoName1,varchar,RString,,,,,A
kinkyuShobyoName2,varchar,RString,,,,,A
kinkyuShobyoName3,varchar,RString,,,,,A
kinkyuChiryoKaishiYMD1,UDD015YMD,FlexibleDate,,,,,A
kinkyuChiryoKaishiYMD2,UDD015YMD,FlexibleDate,,,,,A
kinkyuChiryoKaishiYMD3,UDD015YMD,FlexibleDate,,,,,A
oshinNissu,int2,int,,,,,A
oshinIryoKikanName,varchar,RString,,,,,A
tsuinNissu,int2,int,,,,,A
tsuinIryoKikanName,varchar,RString,,,,,A
kinkyuChiryoKanriTanisu,int4,int,,,,,A
kinkyuChiryoKanriNissu,int2,int,,,,,A
kinkyuChiryoKanriSubTotal,int4,int,,,,,A
rehabilitationTensu,int4,int,,,,,A
shochiTensu,int4,int,,,,,A
shujutsuTensu,int4,int,,,,,A
masuiTensu,int4,int,,,,,A
hoshasenChiryoTensu,int4,int,,,,,A
tekiyo1,varchar,RString,,,,,A
tekiyo2,varchar,RString,,,,,A
tekiyo3,varchar,RString,,,,,A
tekiyo4,varchar,RString,,,,,A
tekiyo5,varchar,RString,,,,,A
tekiyo6,varchar,RString,,,,,A
tekiyo7,varchar,RString,,,,,A
tekiyo8,varchar,RString,,,,,A
tekiyo9,varchar,RString,,,,,A
tekiyo10,varchar,RString,,,,,A
tekiyo11,varchar,RString,,,,,A
tekiyo12,varchar,RString,,,,,A
tekiyo13,varchar,RString,,,,,A
tekiyo14,varchar,RString,,,,,A
tekiyo15,varchar,RString,,,,,A
tekiyo16,varchar,RString,,,,,A
tekiyo17,varchar,RString,,,,,A
tekiyo18,varchar,RString,,,,,A
tekiyo19,varchar,RString,,,,,A
tekiyo20,varchar,RString,,,,,A
kinkyuShisetsuRyoyohiTotalTensu,int4,int,,,,,A
shoteiShikkanShisetsuRyoyohiShobyoName1,varchar,RString,,,,,A
shoteiShikkanShisetsuRyoyohiShobyoName2,varchar,RString,,,,,A
shoteiShikkanShisetsuRyoyohiShobyoName3,varchar,RString,,,,,A
shoteiShikkanShisetsuRyoyohiKaishiYMD1,UDD015YMD,FlexibleDate,,,,,A
shoteiShikkanShisetsuRyoyohiKaishiYMD2,UDD015YMD,FlexibleDate,,,,,A
shoteiShikkanShisetsuRyoyohiKaishiYMD3,UDD015YMD,FlexibleDate,,,,,A
shoteiShikkanShisetsuRyoyohiTanisu,int4,int,,,,,A
shoteiShikkanShisetsuRyoyohiNissu,int2,int,,,,,A
shoteiShikkanShisetsuRyoyohiSubTotal,int4,int,,,,,A
atoOshinNissu,int2,int,,,,,A
atoTsuinNissu,int2,int,,,,,A
atoKinkyuChiryoKanriTanisu,int4,int,,,,,A
atoKinkyuChiryoKanriNissu,int2,int,,,,,A
atoRehabilitationTensu,int4,int,,,,,A
atoShochiTensu,int4,int,,,,,A
atoShujutsuTensu,int4,int,,,,,A
atoMasuiTensu,int4,int,,,,,A
atoHoshasenChiryoTensu,int4,int,,,,,A
atoShoteiShikkanShisetsuRyoyoHiTanisu,int4,int,,,,,A
atoShoteiShikkanShisetsuRyoyoHiNissu,int2,int,,,,,A
saishinsaKaisu,int2,int,,,,,A
kagoKaisu,int2,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
