kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
inputShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,DbUDD010NyuryokuShikibetsuNo,,,,,A
recodeShubetsuCode,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
toshiNo,varchar,RString,,,,,A
serviceSyuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceJitsunissu,int2,int,,,,,A
planTanisu,int4,int,,,,,A
gendogakuKanriTaishoTanisu,int4,int,,,,,A
gendogakuKanritaishogaiTanisu,int4,int,,,,,A
tankiNyushoPlanNissu,int2,int,,,,,A
tankiNyushoJitsunissu,int2,int,,,,,A
hokenTanisuTotal,int4,int,,,,,A
hokenTanisuTani,numeric,Decimal,,,,,A
hokenSeikyugaku,varchar,RString,,,,,A
hokenRiyoshaFutangaku,int4,int,,,,,A
kohi1TanisuTotal,int4,int,,,,,A
kohi1Seikyugaku,varchar,RString,,,,,A
kohi1HonninFutangaku,int4,int,,,,,A
kohi2TanisuTotal,int4,int,,,,,A
kohi2Seikyugaku,varchar,RString,,,,,A
kohi2HonninFutangaku,int4,int,,,,,A
kohi3TanisuTotal,int4,int,,,,,A
kohi3Seikyugaku,varchar,RString,,,,,A
kohi3HonninFutangaku,int4,int,,,,,A
hokenDekidakaTanisuTotal,int4,int,,,,,A
hokenDekidakaSeikyugaku,varchar,RString,,,,,A
hokenDekidakaIryohiRiyoshaFutangaku,int4,int,,,,,A
kohi1DekidakaTanisuTotal,int4,int,,,,,A
kohi1DekidakaSeikyugaku,varchar,RString,,,,,A
kohi1DekidakaIryohiRiyoshaFutangaku,int4,int,,,,,A
kohi2DekidakaTanisuTotal,int4,int,,,,,A
kohi2DekidakaSeikyugaku,varchar,RString,,,,,A
kohi2DekidakaIryohiRiyoshaFutangaku,int4,int,,,,,A
kohi3DekidakaTanisuTotal,int4,int,,,,,A
kohi3DekidakaSeikyugaku,varchar,RString,,,,,A
kohi3DekidakaIryohiRiyoshaFutangaku,int4,int,,,,,A
atoTankiNyushoJitsunissu,int4,int,,,,,A
atoHokenTanisuTotal,int4,int,,,,,A
atoHokenSeikyugaku,varchar,RString,,,,,A
atoKohi1TanisuTotal,int4,int,,,,,A
atoKohi1Seikyugaku,varchar,RString,,,,,A
atoKohi2TanisuTotal,int4,int,,,,,A
atoKohi2Seikyugaku,varchar,RString,,,,,A
atoKohi3TanisuTotal,int4,int,,,,,A
atoKohi3Seikyugaku,varchar,RString,,,,,A
atoHokenDekidakaTanisuTotal,int4,int,,,,,A
atoHokenDekidakaSeikyugaku,varchar,RString,,,,,A
atoKohi1DekidakaTanisuTotal,int4,int,,,,,A
atoKohi1DekidakaSeikyugaku,varchar,RString,,,,,A
atoKohi2DekidakaTanisuTotal,int4,int,,,,,A
atoKohi2DekidakaSeikyugaku,varchar,RString,,,,,A
atoKohi3DekidakaTanisuTotal,int4,int,,,,,A
atoKohi3DekidakaSeikyugaku,varchar,RString,,,,,A
saishinsaKaisu,int4,int,,,,,A
kagoKaisu,int4,int,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
