hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
shinseiRiyu,varchar,RString,,,,,A
shinseishaKubun,varchar,RString,,,,,A
shinseishaNameKanji,varchar,RString,,,,,A
shinseishaNameKana,varchar,RString,,,,,A
shinseishaAddress,varchar,RString,,,,,A
shinseishaTelNo,varchar,RString,,,,,A
shinseiJigyoshaCode,varchar,RString,,,,,A
shiharaiKingakuTotal,numeric,Decimal,,,,,A
hokenKyufuritsu,int4,int,,,,,A
riyoshaFutangaku,int4,int,,,,,A
shikyuShinseiShinsaKubun,varchar,RString,,,,,A
shinsaHohoKubun,varchar,RString,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
