hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
jigyoshaNameKanji,varchar,RString,,,,,A
jigyoshaNameKana,varchar,RString,,,,,A
jigyoshaYubunNo,UDD003YubinNo,YubinNo,,,,,A
jigyoshaAddress,varchar,RString,,,,,A
jigyoshaTelNo,varchar,RString,,,,,A
jigyoshaFaxNo,varchar,RString,,,,,A
riyushoSakuseishaKanji,varchar,RString,,,,,A
riyushoSakuseishaKana,varchar,RString,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
keiyakuKetteiYMD,UDD015YMD,FlexibleDate,,,,,A
shoninKubun,varchar,RString,,,,,A
fushoninRiyu,varchar,RString,,,,,A
kyufugakuHiyogakuTotal,int4,int,,,,,A
kyufugakuHokenTaishoHiyogaku,int4,int,,,,,A
kyufugakuRiyoshaJikofutangaku,int4,int,,,,,A
kyufugakuHokenkyufuhigaku,int4,int,,,,,A
sekoKanryoYoteiYMD,UDD015YMD,FlexibleDate,,,,,A
shinseiTorikeshiJiyuCode,varchar,RString,,,,,A
biko,varchar,RString,,,,,A
