hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNp,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
kyuSochiNyushoshaTokureiCode,varchar,RString,,,,,A
kyotakuServiceSakuseiKubunCode,varchar,RString,,,,,A
kyotakuserviceJigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
kaishiYMD,UDD015YMD,FlexibleDate,,,,,A
chushiYMD,UDD015YMD,FlexibleDate,,,,,A
chushiRiyuNyushomaeJyokyoCode,varchar,RString,,,,,A
nyushoYMD,UDD015YMD,FlexibleDate,,,,,A
taishoYMD,UDD015YMD,FlexibleDate,,,,,A
nyushoJitsuNissu,int2,int,,,,,A
gaihakuNissu,int2,int,,,,,A
taishogoJotaiCode,varchar,RString,,,,,A
hokenKyufuritsu,DbUDD011HokenKyufuRitsu,DbUDD011HokenKyufuRitsu,,,,,A
serviceTanisu,int4,int,,,,,A
hokenSeikyugaku,numeric,Decimal,,,,,A
riyoshaFutangaku,int4,int,,,,,A
kinkyuShisetsuRyoyoSeikyugaku,numeric,Decimal,,,,,A
tokuteiShinryoSeikyugaku,numeric,Decimal,,,,,A
tokuteiNyushoshaKaigoServiceSeikyugaku,int4,int,,,,,A
