hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
junjiNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
shobyoName,varchar,RString,,,,,A
shidoKanriryoTanisu,int4,int,,,,,A
tanjunXsenTanisu,int4,int,,,,,A
rehabilitationTanisu,int4,int,,,,,A
seishinkaSemmonRyoyohouTanisu,int4,int,,,,,A
TotalTanisu,int4,int,,,,,A
tekiyo1,varchar,RString,,,,,A
tekiyo2,varchar,RString,,,,,A
tekiyo3,varchar,RString,,,,,A
tekiyo4,varchar,RString,,,,,A
tekiyo5,varchar,RString,,,,,A
tekiyo6,varchar,RString,,,,,A
tekiyo7,varchar,RString,,,,,A
tekiyo8,varchar,RString,,,,,A
tekiyo9,varchar,RString,,,,,A
tekiyo10,varchar,RString,,,,,A
tekiyo11,varchar,RString,,,,,A
tekiyo12,varchar,RString,,,,,A
tekiyo13,varchar,RString,,,,,A
tekiyo14,varchar,RString,,,,,A
tekiyo15,varchar,RString,,,,,A
tekiyo16,varchar,RString,,,,,A
tekiyo17,varchar,RString,,,,,A
tekiyo18,varchar,RString,,,,,A
tekiyo19,varchar,RString,,,,,A
tekiyo20,varchar,RString,,,,,A
