hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNp,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
kihonTeikyoNissu,int2,int,,,,,A
kihonTeikyoTanka,int2,int,,,,,A
kihonTeikyoKingaku,int4,int,,,,,A
tokubetsuTeikyoNissu,int2,int,,,,,A
tokubetsuTeikyoTanka,int2,int,,,,,A
tokubetsuTeikyoKingaku,int4,int,,,,,A
shokujiTeikyoTotalNissu,int2,int,,,,,A
shokujiTeikyohiTotal,int4,int,,,,,A
getsugakuHyojunFutangaku,int4,int,,,,,A
shokujiTeikyohiSeikyugaku,int4,int,,,,,A
nichigakuHyojunFutangaku,int2,int,,,,,A
shikyuKubunCode,varchar,RString,,,,,A
tensuKingaku,int4,int,,,,,A
shikyuKingaku,int4,int,,,,,A
zougenTen,int4,int,,,,,A
