hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNp,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
shoriTimestamp,timestamp,RDateTime,,,,,A
shiteiKijunGaitoJigyoshaKubunCode,varchar,RString,,,,,A
kyotakuServiceSakuseiIraiYMD,UDD015YMD,FlexibleDate,,,,,A
serviceCode,DbUDD007ServiceCode,DbUDD007ServiceCode,,,,,A
tanisu,int4,int,,,,,A
tanisuTanka,numeric,Decimal,,,,,A
seikyuKingaku,int4,int,,,,,A
shinsaHohoKubunCode,varchar,RString,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
shikyuKubunCode,varchar,RString,,,,,A
tensuKingaku,int4,int,,,,,A
shikyuKingaku,int4,int,,,,,A
zougenTen,int4,int,,,,,A
sagakuKingaku,int4,int,,,,,A
zougenRiyu,varchar,RString,,,,,A
fushikyuRiyu,varchar,RString,,,,,A
kounyuKaishuRireki,varchar,RString,,,,,A
