hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
junjiNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,DbUDD006ServiceKomokuCode,,,,,A
hiyoTanka,int2,int,,,,,A
futanGendogaku,int2,int,,,,,A
nissu,int2,int,,,,,A
hiyogaku,int4,int,,,,,A
hokenbunSeikyugaku,int4,int,,,,,A
riyoshaFutangaku,int4,int,,,,,A
hiyogakuTotal,int4,int,,,,,A
hokenbunSeikyugakuTotal,int4,int,,,,,A
riyoshaFutangakuTotal,int4,int,,,,,A
shikyuKubunCode,varchar,RString,,,,,A
tensuKingaku,int4,int,,,,,A
shikyuKingaku,int4,int,,,,,A
zougenten,int4,int,,,,,A
sagakuKingaku,int4,int,,,,,A
