hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
junjiNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
kinkyuShobyoName1,varchar,RString,,,,,A
kinkyuShobyoName2,varchar,RString,,,,,A
kinkyuShobyoName3,varchar,RString,,,,,A
kinkyuChiryoKaishiYMD1,UDD015YMD,FlexibleDate,,,,,A
kinkyuChiryoKaishiYMD2,UDD015YMD,FlexibleDate,,,,,A
kinkyuChiryoKaishiYMD3,UDD015YMD,FlexibleDate,,,,,A
oshinNissu,int2,int,,,,,A
oshinIryoKikanName,varchar,RString,,,,,A
tsuinNissu,int2,int,,,,,A
tsuinKikanName,varchar,RString,,,,,A
kinkyuChiryoKanriTanisu,int4,int,,,,,A
kinkyuChiryoKanriNissu,int2,int,,,,,A
kinkyuChiryoKanriSubTotal,int4,int,,,,,A
rehabilitationTanisu,int4,int,,,,,A
shochiTanisu,int4,int,,,,,A
shujutsuTanisu,int4,int,,,,,A
masuiTanisu,int4,int,,,,,A
hoshasenChiryoTanisu,int4,int,,,,,A
tekiyo1,varchar,RString,,,,,A
tekiyo2,varchar,RString,,,,,A
tekiyo3,varchar,RString,,,,,A
tekiyo4,varchar,RString,,,,,A
tekiyo5,varchar,RString,,,,,A
tekiyo6,varchar,RString,,,,,A
tekiyo7,varchar,RString,,,,,A
tekiyo8,varchar,RString,,,,,A
tekiyo9,varchar,RString,,,,,A
tekiyo10,varchar,RString,,,,,A
tekiyo11,varchar,RString,,,,,A
tekiyo12,varchar,RString,,,,,A
tekiyo13,varchar,RString,,,,,A
tekiyo14,varchar,RString,,,,,A
tekiyo15,varchar,RString,,,,,A
tekiyo16,varchar,RString,,,,,A
tekiyo17,varchar,RString,,,,,A
tekiyo18,varchar,RString,,,,,A
tekiyo19,varchar,RString,,,,,A
tekiyo20,varchar,RString,,,,,A
kinkyuShisetsuRyoyohiTotalTanisu,int4,int,,,,,A
shoteiShikkanShobyoName1,varchar,RString,,,,,A
shoteiShikkanShobyoName2,varchar,RString,,,,,A
shoteiShikkanShobyoName3,varchar,RString,,,,,A
shoteiShikkanShobyoKaishiYMD1,UDD015YMD,FlexibleDate,,,,,A
shoteiShikkanShobyoKaishiYMD2,UDD015YMD,FlexibleDate,,,,,A
shoteiShikkanShobyoKaishiYMD3,UDD015YMD,FlexibleDate,,,,,A
shoteiShikkanTanisu,int4,int,,,,,A
shoteiShikkanNissu,int2,int,,,,,A
shoteiShikkanSubTotal,int4,int,,,,,A
