hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
seiriNo,varchar,RString,,,,,A
jigyoshaNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
yoshikiNo,varchar,RString,,,,,A
junjiNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceJitsunissu,int2,int,,,,,A
planTanisu,int4,int,,,,,A
gendogakuKanriTaishoTanisu,int4,int,,,,,A
gendogakuKanriTaishogaiTanisu,int4,int,,,,,A
tankiNyushoPlanNissu,int2,int,,,,,A
tankiNyushoJitsunissu,int2,int,,,,,A
tanisuTotal,int4,int,,,,,A
tanisuTanka,numeric,Decimal,,,,,A
seikyugaku,numeric,Decimal,,,,,A
riyoshaFutangaku,int4,int,,,,,A
dekidakaIryohiTanisuTotal,int4,int,,,,,A
dekidakaIryohiSeikyugaku,numeric,Decimal,,,,,A
dekidakaIryohiRiyoshaFutangaku,numeric,Decimal,,,,,A
shinsaHohoKubunCode,varchar,RString,,,,,A
shinsaYM,UDD014YM,FlexibleYearMonth,,,,,A
shikyuKubunCode,varchar,RString,,,,,A
tensuKingaku,int4,int,,,,,A
shikyuKingaku,int4,int,,,,,A
zougenten,int4,int,,,,,A
seikyugakuSagakuKingaku,int4,int,,,,,A
dekidakaSeikyugakuSagaku,int4,int,,,,,A
zougenRiyu,varchar,RString,,,,,A
hushikyuRiyu,varchar,RString,,,,,A
kounyuKaishuRireki,varchar,RString,,,,,A
