hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,A
honninShiharaiGaku,numeric,Decimal,,,,,A
shiharaiKubunCode,varchar,RString,,,,,A
shiharaiKingaku,numeric,Decimal,,,,,A
fushikyuRiyu,varchar,RString,,,,,A
shiharaiHohoKubunCode,varchar,RString,,,,,A
shiharaiBasho,varchar,RString,,,,,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
heichoNaiyo,varchar,RString,,,,,A
shiharaiKaishiTime,varchar,RString,,,,,A
shiharaiShuryoTime,varchar,RString,,,,,A
juryoIninKeiyakuNo,varchar,RString,,,,,A
shinsaHohoKubun,varchar,RString,,,,,A
hanteiKekkaSofuYM,UDD014YM,FlexibleYearMonth,,,,,A
saiSofuFlag,bool,boolean,,,,,A
hanteiKekkaSofuFuyoFlag,bool,boolean,,,,,A
shinsaKekkaHaneiKubun,varchar,RString,,,,,A
ketteiTsuchishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
furikomiMeisaishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
