toriatsukaiYM,UDD014YM,FlexibleYearMonth,,,,,A
hokenshaKubun,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
kaigoKyufuhiSeikyuKensu,int4,int,,,,,A
kaigoKyufuhiSeikyuTanisu,numeric,Decimal,,,,,A
kaigoKyufuhiSeikyuFutangaku,numeric,Decimal,,,,,A
kaigoKyufuhiKetteiKensu,int4,int,,,,,A
kaigoKyufuhiKetteiTanisu,numeric,Decimal,,,,,A
kaigoKyufuhiKetteiFutangaku,numeric,Decimal,,,,,A
kaigoKyufuhiChoseiKensu,int4,int,,,,,A
kaigoKyufuhiChoseiTanisu,numeric,Decimal,,,,,A
kaigoKyufuhiChoseiFutangaku,numeric,Decimal,,,,,A
kogakuKaigoServicehiSeikyuKensu,int4,int,,,,,A
kogakuKaigoServicehiSeikyuTanisu,numeric,Decimal,,,,,A
kogakuKaigoServicehiSeikyuFutangaku,numeric,Decimal,,,,,A
kogakuKaigoServicehiKetteiKensu,int4,int,,,,,A
kogakuKaigoServicehiKetteiTanisu,numeric,Decimal,,,,,A
kogakuKaigoServicehiKetteiFutangaku,numeric,Decimal,,,,,A
kogakuKaigoServicehiChoseiKensu,int4,int,,,,,A
kogakuKaigoServicehiChoseiTanisu,numeric,Decimal,,,,,A
kogakuKaigoServicehiChoseiFutangaku,numeric,Decimal,,,,,A
kohiFutanshaNo,varchar,RString,,,,,A
sakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
sinsaiinkaiName,varchar,RString,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
