toriatsukaiYM,UDD014YM,FlexibleYearMonth,,,,,A
hokenshaKubun,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
jigyoshoNo,DbUDD004JigyoshaNo,DbUDD004JigyoshaNo,,,,,A
jigyoshoName,varchar,RString,,,,,A
hiHokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
kohiJukyushaNo,varchar,RString,,,,,A
shokisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
serviceTeikyoYM,UDD014YM,FlexibleYearMonth,,,,,A
serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceShuruiName,varchar,RString,,,,,A
moushitateJiyuCode,varchar,RString,,,,,A
moushitateJiyu,varchar,RString,,,,,A
saishinsaResultCode,varchar,RString,,,,,A
toshoSeikyuTanisu,numeric,Decimal,,,,,A
genshinSeikyuTanisu,numeric,Decimal,,,,,A
moushitateTanisu,numeric,Decimal,,,,,A
ketteiTanisu,numeric,Decimal,,,,,A
choseiTanisu,numeric,Decimal,,,,,A
hokenshaFutangaku,numeric,Decimal,,,,,A
torikomiYM,UDD014YM,FlexibleYearMonth,,,,,A
