hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
seiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
shinseiJokyoKubun,varchar,RString,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
shikyuShinseishoSeiriNo,varchar,RString,,,,,A
kokuhoShikyuShinseishoSeiriNo,varchar,RString,,,,,A
shikyuShinseiKubun,varchar,RString,,,,,A
taishoKeisanKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
taishoKeisanShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shikyuShinseiKeitai,varchar,RString,,,,,A
jikoFutanKofuUmu,varchar,RString,,,,,A
shinseiDaihyoshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
shinseiDaihyoshaYubinNo,UDD003YubinNo,YubinNo,,,,,A
shinseiDaihyoshaJusho,varchar,RString,,,,,A
shinseiDaihyoshaTelNo,UDD026TelNo,TelNo,,,,,A
shotokuKubun,varchar,RString,,,,,A
over70_ShotokuKubun,varchar,RString,,,,,A
shikakuSoshitsuYMD,UDD015YMD,FlexibleDate,,,,,A
shikakuSoshitsuJiyu,varchar,RString,,,,,A
kanyuKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
kanyuShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kokuho_HokenshaNo,varchar,RString,,,,,A
kokuho_HokenshaMeisho,varchar,RString,,,,,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,A
kokuho_HihokenshaShoNo,varchar,RString,,,,,A
kokuho_SetaiNo,varchar,RString,,,,,A
kokuho_Zokugara,varchar,RString,,,,,A
kokuho_KanyuKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
kokuho_KanyuShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
koki_HokenshaNo,varchar,RString,,,,,A
koki_KoikiRengoMeisho,varchar,RString,,,,,A
koki_HihokenshaNo,varchar,RString,,,,,A
koki_KanyuKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
koki_KanyuShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shiharaiHohoKubun,varchar,RString,,,,,A
shiharaiBasho,varchar,RString,,,,,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
heichoNaiyo,varchar,RString,,,,,A
shiharaiKaishiTime,varchar,RString,,,,,A
shiharaiShuryoTime,varchar,RString,,,,,A
biko,varchar,RString,,,,,A
shikyuShinseisho_SofuYM,UDD014YM,FlexibleYearMonth,,,,,A
saiSofuFlag,varchar,RString,,,,,A
jikoFutan_KeisanYM,UDD014YM,FlexibleYearMonth,,,,,A
saiKeisanKubun,varchar,RString,,,,,A
