hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shikyuShinseishoSeiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
hokenSeidoCode,varchar,RString,,,,,A
hokenshaMei,varchar,RString,,,,,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,A
hihokenshaShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
hihokenshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
umareYMD,UDD015YMD,FlexibleDate,,,,,A
seibetsuCode,UDD035Code,Code,,,,,A
shotokuKubun,varchar,RString,,,,,A
over70_ShotokuKubun,varchar,RString,,,,,A
jikoFutanSeiriNo,varchar,RString,,,,,A
koki_HokenshaNo,varchar,RString,,,,,A
koki_HihokenshaNo,varchar,RString,,,,,A
kokuho_HokenshaNo,varchar,RString,,,,,A
kokuho_HihokenshaShoNo,varchar,RString,,,,,A
kokuho_KojinNo,varchar,RString,,,,,A
idoKubun,varchar,RString,,,,,A
hoseiZumiSofuKubun,varchar,RString,,,,,A
taishoKeisanKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
taishoKeisanShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
hihokenshaKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
hihokenshaShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
gokei_JikoFutanGaku,numeric,Decimal,,,,,A
gokei_70_74JikoFutanGaku,numeric,Decimal,,,,,A
gokei_Under70KogakuShikyuGaku,numeric,Decimal,,,,,A
gokei_70_74KogakuShikyuGaku,numeric,Decimal,,,,,A
sumi_Gokei_JikoFutanGaku,numeric,Decimal,,,,,A
sumi_Gokei_70_74JikoFutanGaku,numeric,Decimal,,,,,A
sumi_Gokei_Under70KogakuShikyuGaku,numeric,Decimal,,,,,A
sumi_Gokei_70_74KogakuShikyuGaku,numeric,Decimal,,,,,A
atesakiShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
atesakiYubinNo,UDD003YubinNo,YubinNo,,,,,A
atesakiJusho,varchar,RString,,,,,A
madoguchi_TaishoshaHanteiCode,varchar,RString,,,,,A
shiharaiBasho,varchar,RString,,,,,A
shikaraiKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
heichoNaiyo,varchar,RString,,,,,A
shiharaiKaishiTime,varchar,RString,,,,,A
shiharaiShuryoTime,varchar,RString,,,,,A
biko,varchar,RString,,,,,A
dataSakuseiKubun,varchar,RString,,,,,A
kakunin_UketoriYM,UDD014YM,FlexibleYearMonth,,,,,A
hoseiZumi_SofuYM,UDD014YM,FlexibleYearMonth,,,,,A
shomeisho_UketoriYM,UDD014YM,FlexibleYearMonth,,,,,A
saisoFlag,varchar,RString,,,,,A
sofuTaishoGaiFlag,varchar,RString,,,,,A
jikoFutanKeisanYMD,UDD015YMD,FlexibleDate,,,,,A
shomeiShoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
koki_KokuhoShoriKubun,varchar,RString,,,,,A
