hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shikyuShinseishoSeiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
hokenSeidoCode,varchar,RString,,,,,A
jikoFutanSeiriNo,varchar,RString,,,,,A
taishoKeisanKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
taishoKeisanShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
setaiFutanSogaku,numeric,Decimal,,,,,A
setaiGassanGaku,numeric,Decimal,,,,,A
over70_SetaiGassanGaku,numeric,Decimal,,,,,A
shotokuKubun,varchar,RString,,,,,A
over70_ShotokuKubun,varchar,RString,,,,,A
santeiKijunGaku,numeric,Decimal,,,,,A
over70_SanteiKijyunGaku,numeric,Decimal,,,,,A
setaiShikyuSogaku,numeric,Decimal,,,,,A
over70_SetaiShikyuSogaku,numeric,Decimal,,,,,A
honninShikyugaku,numeric,Decimal,,,,,A
over70_honninShikyugaku,numeric,Decimal,,,,,A
teiShotoku_1_SaiKeisanUmu,varchar,RString,,,,,A
biko,varchar,RString,,,,,A
kekkaRenrakusakiYubinNo,UDD003YubinNo,YubinNo,,,,,A
kekkaRenrakusakiJusho,varchar,RString,,,,,A
ketteRenrakusakiMeisho1,varchar,RString,,,,,A
kekkaRenrakusakiMeisho2,varchar,RString,,,,,A
tsuchiYMD,UDD015YMD,FlexibleDate,,,,,A
renrakuhyoHakkoshaMei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
renrakuhyoHakkoshaYubinNo,UDD003YubinNo,YubinNo,,,,,A
renrakuhyoHakkoshaJusho,varchar,RString,,,,,A
toiawasesakiYobinNo,UDD003YubinNo,YubinNo,,,,,A
toiawasesakiJusho,varchar,RString,,,,,A
toiawasesakiMeisho1,varchar,RString,,,,,A
toiawasesakiMeisho2,varchar,RString,,,,,A
toiawasesakiTelNo,UDD026TelNo,TelNo,,,,,A
over70_FutangakuGokei,numeric,Decimal,,,,,A
over70_ShikyugakuGokei,numeric,Decimal,,,,,A
under70_FutangakuGokei,numeric,Decimal,,,,,A
futangakuGokei,numeric,Decimal,,,,,A
under70_ShikyugakuGokei,numeric,Decimal,,,,,A
shikyugakuGokei,numeric,Decimal,,,,,A
dataKubun,varchar,RString,,,,,A
uketoriYM,UDD014YM,FlexibleYearMonth,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
