hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shikyuShinseishoSeiriNo,varchar,RString,,,,,A
meisanNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
hokenSeidoCode,varchar,RString,,,,,A
uchiwakeHokenshaNo,varchar,RString,,,,,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,A
hiHokenshaShoNo,varchar,RString,,,,,A
uchiwakeHokenshaMei,varchar,RString,,,,,A
jikoFutanSeiriNo,varchar,RString,,,,,A
taishoshaShimei,varchar,RString,,,,,A
over70_Futangaku,varchar,RString,,,,,A
over70_AmbunRitsu,varchar,RString,,,,,A
over70_Shikyugaku,varchar,RString,,,,,A
under70_Futangaku,varchar,RString,,,,,A
futangaku,varchar,RString,,,,,A
ambunRitsu,varchar,RString,,,,,A
under70_Shikyugaku,varchar,RString,,,,,A
shikyugaku,varchar,RString,,,,,A
over70_Biko,varchar,RString,,,,,A
under70_Biko,varchar,RString,,,,,A
dataKubun,varchar,RString,,,,,A
uketoriYM,UDD014YM,FlexibleYearMonth,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
