hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
taishoNendo,UDD012YSeireki,FlexibleYear,,,,,A
hokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
shikyuSeiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
jikoFutanSeiriNo,varchar,RString,,,,,A
hokenSeidoCode,varchar,RString,,,,,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,A
keisanKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
keisanShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,A
jikoFutanSogaku,numeric,Decimal,,,,,A
shikyuKubunCode,varchar,RString,,,,,A
shikyugaku,numeric,Decimal,,,,,A
kyufuShurui,varchar,RString,,,,,A
fushikyuRiyu,varchar,RString,,,,,A
biko,varchar,RString,,,,,A
shiharaiHohoKubun,varchar,RString,,,,,A
shiharaiBasho,varchar,RString,,,,,A
shiharaiKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shiharaiShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
heichoNaiyo,varchar,RString,,,,,A
shiharaiKaishiTime,varchar,RString,,,,,A
shiharaiShuryoTime,varchar,RString,,,,,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
ketteiTsuchiSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
furikomiTsuchiSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
uketoriYM,UDD014YM,FlexibleYearMonth,,,,,A
