kokanJohoShikibetsuNo,DbUDD009KokanShikibetsuNo,DbUDD009KokanShikibetsuNo,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shikyuShinseiSeiriNo,varchar,RString,,,,,A
seiriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
jikoFutanSeiriNo,varchar,RString,,,,,A
hokenSeidoCode,varchar,RString,,,,,A
kyufuJissekiSakuseiKubunCode,varchar,RString,,,,,A
shoKisaiHokenshaNo,DbUDD003HokenshaNo,DbUDD003HokenshaNo,,,,,A
kokuho_HihokenshaShoKigo,varchar,RString,,,,,A
shinseiYMD,UDD015YMD,FlexibleDate,,,,,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,A
jikoFutanSogaku,numeric,Decimal,,,,,A
shikyuGaku,numeric,Decimal,,,,,A
shoriYM,UDD014YM,FlexibleYearMonth,,,,,A
uketoriYM,UDD014YM,FlexibleYearMonth,,,,,A
sofuYM,UDD014YM,FlexibleYearMonth,,,,,A
dataKubun,varchar,RString,,,,,A
