hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
todokedeKanriNo,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
todokedeYMD,UDD015YMD,FlexibleDate,,,,,A
todokedenin_YubinNo,UDD003YubinNo,YubinNo,,,,,A
todokedenin_Jusho,varchar,RString,,,,,A
todokedenin_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
todokedenin_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
todokedenin_TelNo,UDD026TelNo,TelNo,,,,,A
todokedenin_Zokugara,varchar,RString,,,,,A
yokaigoJotaiKubun,UDD035Code,Code,,,,,A
ninteiYukoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
ninteiYukoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
kagaisha_YubinNo,UDD003YubinNo,YubinNo,,,,,A
kagaisha_Jusho,varchar,RString,,,,,A
kagaisha_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
kagansha_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
kagaisha_UmareYMD,UDD015YMD,FlexibleDate,,,,,A
kagaisha_TelNo,UDD026TelNo,TelNo,,,,,A
kagaisha_Shokugyo,varchar,RString,,,,,A
shiyosha_YubinNo,UDD003YubinNo,YubinNo,,,,,A
shiyosha_Jusho,varchar,RString,,,,,A
shiyosha_ShimeiKana,UDD043AtenaKanaMeisho,AtenaKanaMeisho,,,,,A
shiyosha_Shimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
shiyosha_UmareYMD,UDD015YMD,FlexibleDate,,,,,A
shiyosha_TelNo,UDD026TelNo,TelNo,,,,,A
shiyosha_Shokugyo,varchar,RString,,,,,A
fushoYMD,UDD015YMD,FlexibleDate,,,,,A
fushoTime,varchar,RString,,,,,A
fushoJi_Basho,varchar,RString,,,,,A
hasshoGeiin_FushoJiJokyo,varchar,RString,,,,,A
jibaisekiHoken_KeiyakuKaishaMei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
jibaisekiHoken_ShomeishoNo,varchar,RString,,,,,A
jibaisekiHoken_KeiyakushaJusho,varchar,RString,,,,,A
shoyushaJusho,varchar,RString,,,,,A
shoyushaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
torokuNo,varchar,RString,,,,,A
shadaiNo,varchar,RString,,,,,A
niniHoken_TaijinHoshoUmu,varchar,RString,,,,,A
niniHoken_TaijinHoshoKaishaMei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
niniHoken_TaijinHoshoKaishaTelNo,UDD026TelNo,TelNo,,,,,A
niniHoken_TaijinHoshoKaishaTantosha,UDD042AtenaMeisho,AtenaMeisho,,,,,A
jidan_SeiritsuUmu,varchar,RString,,,,,A
jidan_SeiritsuYMD,UDD015YMD,FlexibleDate,,,,,A
songaiBaishoKoshoKeika,varchar,RString,,,,,A
jikoHasseiJokyoHokokushoUmu,varchar,RString,,,,,A
nensho_DoishoUmu,varchar,RString,,,,,A
seiyakushoUmu,varchar,RString,,,,,A
kotsuJikoShomeishoUmu,varchar,RString,,,,,A
jinshinJikoShomeisho_NyushuFunoRiyushoUmu,varchar,RString,,,,,A
jidanshoUtsushiUmu,varchar,RString,,,,,A
