hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
ketteiYMD,UDD015YMD,FlexibleDate,,,,,A
tekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
yukoKigenYMD,UDD015YMD,FlexibleDate,,,,,A
riyoshaFutan_KetteiKubun,varchar,RString,,,,,A
riyoshaFutan_FuShoninRiyu,varchar,RString,,,,,A
kohi_JukyushaNo,varchar,RString,,,,,A
kohi_FutanshaNo,varchar,RString,,,,,A
kyufuRitsu,DbUDD011HokenKyufuRitsu,DbUDD011HokenKyufuRitsu,,,,,A
jukyushaNo,varchar,RString,,,,,A
keikaSochiKubun,varchar,RString,,,,,A
kuniKeigenKubun,varchar,RString,,,,,A
shakaiFukushiHojinKeigenKubun,varchar,RString,,,,,A
tokubetsuChiikiKasanKubun,varchar,RString,,,,,A
taino_HoryuKubun,varchar,RString,,,,,A
ninteiShinseichu_HoryuKubun,varchar,RString,,,,,A
ninteiKigenGire_HoryuKubun,varchar,RString,,,,,A
