shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
kinyuYMD,UDD015YMD,FlexibleDate,,,,,A
shitsumonJiko01,int2,int,,,,,A
shitsumonJiko02,int2,int,,,,,A
shitsumonJiko03,int2,int,,,,,A
shitsumonJiko04,int2,int,,,,,A
shitsumonJiko05,int2,int,,,,,A
shitsumonJiko06,int2,int,,,,,A
shitsumonJiko07,int2,int,,,,,A
shitsumonJiko08,int2,int,,,,,A
shitsumonJiko09,int2,int,,,,,A
shitsumonJiko10,int2,int,,,,,A
shitsumonJiko11,int2,int,,,,,A
shitsumonJiko12Shincho,numeric,Decimal,,,,,A
shitsumonJiko12Taiju,numeric,Decimal,,,,,A
shitsumonJiko13,int2,int,,,,,A
shitsumonJiko14,int2,int,,,,,A
shitsumonJiko15,int2,int,,,,,A
shitsumonJiko16,int2,int,,,,,A
shitsumonJiko17,int2,int,,,,,A
shitsumonJiko18,int2,int,,,,,A
shitsumonJiko19,int2,int,,,,,A
shitsumonJiko20,int2,int,,,,,A
shitsumonJiko21,int2,int,,,,,A
shitsumonJiko22,int2,int,,,,,A
shitsumonJiko23,int2,int,,,,,A
shitsumonJiko24,int2,int,,,,,A
shitsumonJiko25,int2,int,,,,,A
