shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
uketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
tensu_SeikatsuKinoZenpan,numeric,Decimal,,,,,A
tensu_UndokiKino,numeric,Decimal,,,,,A
tensu_Eiyo,numeric,Decimal,,,,,A
tensu_Koku,numeric,Decimal,,,,,A
tensu_Tojikomori,numeric,Decimal,,,,,A
tensu_NinchiNoryoku,numeric,Decimal,,,,,A
tensu_Utsu,numeric,Decimal,,,,,A
shien_SeikatsuKinoZenpan,int2,int,,,,,A
shien_UndokiKino,int2,int,,,,,A
shien_Eiyo,int2,int,,,,,A
shien_Koku,int2,int,,,,,A
shien_Tojikomori,int2,int,,,,,A
shien_NinchiNoryoku,int2,int,,,,,A
shien_Utsu,int2,int,,,,,A
nijiYobo_ShukantekiKenkouKan,varchar,RString,,,,,A
