shoKisaiHokenshaNo,varchar,ShoKisaiHokenshaNo,,,,,A
hihokenshaNo,varchar,HihokenshaNo,,,,,A
shinseishoKanriNo,varchar,ShinseishoKanriNo,,,,,A
shoriTimeStamp,UDD018YMDHMS,YMDHMS,,,,,A
shishoCode,varchar,ShishoCode,,,,,A
ShikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
chikuCode,UDD011ChikuCode,ChikuCode,,,,,A
soshitsuYMD,UDD015YMD,FlexibleDate,,,,,A
nigouTokuteiShippeiCode,UDD035Code,Code,,,,,A
chokkinIdoYMD,UDD015YMD,FlexibleDate,,,,,A
chokkinIdoJiyuCode,UDD035Code,Code,,,,,A
shikyuGendoTanisu,numeric,Decimal,,,,,A
shikyuGendoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
shikyuGendoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
tankiSikyuGendoNissu,int4,int,,,,,A
tankiShikyuGendoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
tankiShikyuGendoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
jidoWariateJogaishaKubun,varchar,RString,,,,,A
