shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,A
hihokenshaNo,DbUDD002HihokenshaNo,HihokenshaNo,,,,,A
kanriKubun,varchar,RString,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
torokuKubun,varchar,RString,,,,,A
tekiyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
tekiyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
shuryoKubun,varchar,RString,,,,,A
yokoku_TorokuYMD,UDD015YMD,FlexibleDate,,,,,A
sashitome_IraiJuriYMD,UDD015YMD,FlexibleDate,,,,,A
yokoku_TsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,A
yokoku_TsuchiSaiHakkoFlag,bool,boolean,,,,,A
bemmei_TeishutsuYMD,UDD015YMD,FlexibleDate,,,,,A
bemmei_UketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
bemmei_RiyuCode,varchar,RString,,,,,A
bemmei_ShinsaKetteiYMD,UDD015YMD,FlexibleDate,,,,,A
bemmei_ShinsaKekkaKubun,varchar,RString,,,,,A
shokan_KetteiYMD,UDD015YMD,FlexibleDate,,,,,A
shokan_TsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,A
shokan_TsuchiSaiHakkoFlag,bool,boolean,,,,,A
hihokenshaShoTeishutsuYMD,UDD015YMD,FlexibleDate,,,,,A
sashitome_Flag,bool,boolean,,,,,A
sashitome_KetteiYMD,UDD015YMD,FlexibleDate,,,,,A
sashitome_KaijoYMD,UDD015YMD,FlexibleDate,,,,,A
gemmen_KetteiYMD,UDD015YMD,FlexibleDate,,,,,A
gemmen_TsuchiHakkoYMD,UDD015YMD,FlexibleDate,,,,,A
gemmen_TsuchiSaiHakkoFlag,bool,boolean,,,,,A
kyufuRitsu,DbUDD011HokenKyufuRitsu,HokenKyufuRitsu,,,,,A
shuryoShinsei_UketsukeYMD,UDD015YMD,FlexibleDate,,,,,A
shuryoShinsei_YMD,UDD015YMD,FlexibleDate,,,,,A
shuryoShinsei_RiyuCode,varchar,RString,,,,,A
shuryoShinsei_ShinsaKetteiYMD,UDD015YMD,FlexibleDate,,,,,A
shuryoShinsei_ShinsaKekkaKubun,varchar,RString,,,,,A
mukoKubun,bool,boolean,,,,,A
