shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,,,,,A
shikibetsuCode,UDD001ShikibetsuCode,ShikibetsuCode,,,,,A
genshobunsHihokennshaNo,DbUDD002HihokenshaNo,DbUDD002HihokenshaNo,,,,,A
shinsaSeikyuTodokedeYMD,UDD015YMD,FlexibleDate,,,,,A
genshobunHihokenshaYubinNo,UDD003YubinNo,YubinNo,,,,,A
genshobunHihokenshaJusho,UDD046AtenaJusho,AtenaJusho,,,,,A
genshobunHihokenshaShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
genshobunHihokenshaTelNo,UDD026TelNo,TelNo,,,,,A
genshobunHihokenshaBirthYMD,UDD015YMD,FlexibleDate,,,,,A
shinsaSeikyuninYubinNo,UDD003YubinNo,YubinNo,,,,,A
shinsaSeikyuninJusho,UDD046AtenaJusho,AtenaJusho,,,,,A
shinsaSeikyuninShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
shinsaSeikyuninTelNo,UDD026TelNo,TelNo,,,,,A
hihokenshaTonoKankeiCode,UDD035Code,Code,,,,,A
dairininYubinNo,UDD003YubinNo,YubinNo,,,,,A
dairininJusho,UDD046AtenaJusho,AtenaJusho,,,,,A
dairininShimei,UDD042AtenaMeisho,AtenaMeisho,,,,,A
dairininTelNo,UDD026TelNo,TelNo,,,,,A
shobunCho,varchar,RString,,,,,A
shobunYMD,UDD015YMD,FlexibleDate,,,,,A
shobunShuruiCode,UDD035Code,Code,,,,,A
shobunKakuninYMD,UDD015YMD,FlexibleDate,,,,,A
shinsaSeikyuRiyu,text,RString,,,,,A
shobunChoKyojiNaiyo,text,RString,,,,,A
tempuShoruiTo,bool,boolean,,,,,A
shinsaSeikyuTorisageYMD,UDD015YMD,FlexibleDate,,,,,A
bemmeishoTorokuFlag,bool,boolean,,,,,A
bemmeishoSakuseiYMD,UDD015YMD,FlexibleDate,,,,,A
saiketsuYMD,UDD015YMD,FlexibleDate,,,,,A
saiketsuKekka,text,RString,,,,,A
saiketsuRiyu,text,RString,,,,,A
