shichosonCode,UDD023LasdecCode,LasdecCode,,,,,A
kaigoIryokikanCode,varchar,RString,,,,,A
iryokikanCode,varchar,RString,,,,,A
iryokikanJokyo,bpchar,RString,,,,,A
iryoKikanMeisho,varchar,RString,,,,,A
iryoKikanMeishoKana,varchar,RString,,,,,A
yubinNo,UDD003YubinNo,YubinNo,,,,,A
jusho,varchar,RString,,,,,A
jushoKana,varchar,RString,,,,,A
telNo,UDD026TelNo,TelNo,,,,,A
ginkoCode,UDD030KinyuKikanCode,KinyuKikanCode,,,,,A
shitenCode,UDD031KinyuKikanShitenCode,KinyuKikanShitenCode,,,,,A
kozaShubetsu,UDD035Code,Code,,,,,A
kozaNo,UDD035Code,Code,,,,,A
kozaMeiginin,bpchar,RString,,,,,A
kozaMeigininKana,bpchar,RString,,,,,A
kikanKubunCode,UDD035Code,Code,,,,,A
