shichosonShokibetsuID,bpchar,RString,,,,,A
shichosonCode,DbUDD001ShichosonCode,RString,,,,,A
shoKisaiHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,A
kokuhorenKoikiShichosonNo,varchar,RString,,,,,A
shichosonMeisho,varchar,RString,,,,,A
todofukenMeisho,varchar,RString,,,,,A
gunMeisho,varchar,RString,,,,,A
yubinNo,UDD003YubinNo,YubinNo,,,,,A
jusho,UDD046AtenaJusho,AtenaJusho,,,,,A
telNo,UDD026TelNo,TelNo,,,,,A
yusenChikuCode,varchar,RString,,,,,A
tyohyoTodoufukenHyojiUmu,bpchar,RString,,,,,A
tyohyoGunHyojiUmu,bpchar,RString,,,,,A
tyohyoShichosonHyojiUmu,bpchar,RString,,,,,A
tyohyoJushoHenshuHouhou,bpchar,RString,,,,,A
tyohyoKatagakiHyojiUmu,bpchar,RString,,,,,A
gaikokujinHyojiHouhou,bpchar,RString,,,,,A
rojinhokenShichosonNo,varchar,RString,,,,,A
rokenJukyushaNoTaikei,varchar,RString,,,,,A
ikoYMD,UDD015YMD,FlexibleDate,,,,,A
kanyuYMD,UDD015YMD,FlexibleDate,,,,,A
ridatsuYMD,UDD015YMD,FlexibleDate,,,,,A
gappeiKyuShichosonKubun,varchar,RString,,,,,A
gappeiKyuShichosonHyojiUmu,varchar,RString,,,,,A
gappeiLinkNo,varchar,RString,,,,,A
unyoHokenshaNo,DbUDD015ShoKisaiHokenshaNo,ShoKisaiHokenshaNo,,,,,A
unyoKaishiYMD,UDD015YMD,FlexibleDate,,,,,A
unyoShuryoYMD,UDD015YMD,FlexibleDate,,,,,A
unyoKeitaiKubun,varchar,RString,,,,,A
