serviceShuruiCode,DbUDD005ServiceShuruiCode,DbUDD005ServiceShuruiCode,,,,,A
serviceKomokuCode,DbUDD006ServiceKomokuCode,DbUDD006ServiceKomokuCode,,,,,A
tekiyoKaishiYM,UDD014YM,FlexibleYearMonth,,,,,A
shoriTimestamp,UDD018YMDHMS,YMDHMS,,,,,A
tekiyoShuryoYM,UDD014YM,FlexibleYearMonth,,,,,A
serviceMeisho,varchar,RString,,,,,A
taniSu,numeric,Decimal,,,,,A
taniSuShikibetsu,varchar,RString,,,,,A
santeiTani,varchar,RString,,,,,A
goseiShikibetsuKubun,varchar,RString,,,,,A
tokuteiShinryoKubunCode,varchar,RString,,,,,A
tokuteiShinryoKomokuCode,varchar,RString,,,,,A
santeiSeiyakuKikan,varchar,RString,,,,,A
santeiSeiyakuKaisu,numeric,Decimal,,,,,A
